ID,a,h,AIC,BIC
39835,9.6637587315e-05,29.2907614385,-125.023107742,-124.864224659
39836,2.81843372743e-05,167.043323632,-225.507553532,-224.902383346
39837,1.30113797103e-05,165.281863167,-201.55354308,-200.948372894
39838,6.24073602551e-06,168.116369087,-233.838304224,-233.233134038
39839,5.13467046193e-06,576.124885605,-212.865694831,-212.260524645
39840,0.0,0.96712675611,-51.4044472298,-48.2374093529
39841,1.8493988674,0.934020228549,-151.964389969,-148.537245836
39842,1.00824663467,0.899831669839,-94.4429304621,-91.3902094129
39843,1.79470577029,0.862561322167,-106.690386533,-104.025977513
39844,1.44256262013,0.887724124086,-146.618752662,-143.143413426
39845,0.764788118079,0.988429678237,-84.5540423009,-82.1979346402
39846,0.422727882694,1.18400862946,-77.7263131629,-75.455324731
39847,0.440379790918,1.00659207698,-122.168097062,-119.300122653
39848,0.598639177316,0.893010407287,-83.405047066,-80.9672954163
39849,0.817374110314,1.21589280767,-73.0017324006,-70.9126875252
39850,0.551192586823,1.21531666369,-78.7054415379,-76.8165635796
39863,1.92949783346e-05,198.101521447,-86.4297714689,-87.2108956441
39864,6.54087072096e-05,506.085856426,-90.2666964795,-91.0478206546
39865,1.09487381095e-05,677.578548403,-99.07588306,-99.8570072351
39866,2.24541523361e-05,240.277033924,-89.3114798883,-90.0926040634
39867,1.9932468456e-05,842.546151395,-99.1003046442,-99.8814288194
39868,5.23665302918e-05,471.764653202,-103.111601172,-103.528082234
39869,9.52522442828e-05,173.148679005,-91.6042072061,-92.0206882676
39870,5.88988366697e-05,104.932518454,-101.641186408,-102.05766747
39871,9.61633531915e-05,110.462791221,-87.175684492,-87.5921655535
39873,1.9975447705e-05,1014.38395661,-113.598964755,-114.015445816
39874,5.43479546657e-05,388.579413386,-105.33313813,-105.749619192
39875,0.000160432511838,290.809661852,-92.6017966609,-93.0182777225
39876,0.000127535789116,135.159800608,-87.2815002538,-87.6979813153
39877,0.000128186658067,114.912812918,-90.3880602644,-90.804541326
39878,1.27527547631e-05,1153.0524059,-120.244849952,-120.661331014
39879,4.6599197532e-05,643.552411068,-114.962904209,-115.379385271
39880,9.14343858154e-05,274.23333368,-99.008227513,-99.4247085746
39881,0.000115733460099,209.925488987,-102.694929181,-103.111410242
39882,9.6127933837e-05,150.736303648,-99.3059632045,-99.722444266
39888,1.64431059517e-05,1766.56197449,-76.5015899574,-77.7290012352
39889,1.74224272611e-05,2.95553078948e-05,-78.5567831839,-79.7841944616
39890,0.0,1912.65241347,-90.7753696203,-91.1918506819
39891,0.000144204331613,1092.7564275,-108.886863398,-109.303344459
39895,0.00015984869218,160.93129903,-144.262737548,-144.103854464
39896,4.49862039407e-05,3.5696682571e-05,-142.174452593,-142.01556951
39897,0.000123067979725,1434.06283936,-146.583068475,-146.424185392
39898,0.000180521899202,219.247559064,-156.278555251,-156.119672168
39899,0.000186911693266,330.172774997,-144.699702724,-144.540819641
39900,0.000151135521842,618.947366224,-155.272757621,-155.113874537
39901,0.000239564773841,391.145751531,-131.337983264,-131.179100181
39902,0.000128779892131,1592.73936474,-138.444043172,-138.285160089
39903,0.0001854891005,3915.68056619,-135.476973838,-135.318090755
39904,0.000138042195891,190.621780686,-146.633476909,-146.474593825
39905,9.9205565302e-05,170.423890879,-145.164455353,-145.00557227
39906,0.000116960530389,962.261748251,-154.925773168,-154.766890085
39910,0.000920823018745,3.86268527048e-05,645.523793351,648.901552259
39911,0.000897155033402,7.83947764842e-05,658.843691285,662.319030522
39912,0.000706076723652,21.7174512437,-107.959588272,-107.800705188
39914,0.00246129560038,0.149369759805,8.62035302164,9.41614356724
39919,0.000264407368793,7.36038160302,-94.2324721427,-95.0135963178
39920,0.000266159769324,6.5768966466,-84.1737145983,-84.9548387734
39921,0.000448175306762,102.709663996,-71.6667028361,-72.4478270112
39922,0.000328622819596,158.010313401,-79.4650475843,-80.2461717595
39923,0.000433297692665,312.333076854,-86.1652471986,-86.9463713737
39937,1.33980704065e-06,218129.258403,-161.310912524,-162.092036699
39938,8.36227655565e-07,279570.017278,-173.323073551,-174.104197727
39948,2.39133226145,3.54399957702,-24.6942248817,-25.4753490568
39949,5.08621077092,3.97799739815,-42.0233841755,-42.8045083506
39950,2.97373932884,5.63218260337,-27.226175999,-28.0073001742
39951,2.81898425196e-05,2569.75408756,-125.140666573,-125.557147635
39952,0.0,4001.26005034,-104.283727866,-104.700208927
39953,1.95354132428e-05,6202.40123972,-114.09206917,-114.873193345
39954,4.67085795308e-06,1524.11137765,-136.479593326,-136.896074387
39962,3.06317368675e-05,60.0907304539,-86.5564091533,-86.9728902149
39963,0.00018319716817,112.753653916,-134.298201192,-133.693031006
39964,3.75153175027e-05,54.2177936381,-57.7274078055,-58.5085319807
39965,0.0,1.98880745035,-25.4736348656,-25.0791857109
39966,0.0159689014211,3.14870404983,-58.2697192941,-57.6645491081
39967,0.00355379726103,6.77064026365,-34.2957878395,-35.5231991172
39968,0.00307294260964,0.971224274693,-20.1359242252,-20.9170484004
39969,0.0265786055553,1.39691945937,-31.5078570608,-32.2889812359
39970,0.00206608583672,1.4961690545,-27.6082346666,-28.3893588417
39971,0.013372299586,0.605785872155,-15.3029127757,-16.0840369509
39972,0.115375609033,0.55589236915,-33.9436033604,-32.6654887011
39973,366.541150777,0.0164453753135,26.9316921103,26.5152110487
39974,5.16566566504e-05,0.000187718685263,70.3075083132,69.8910272517
39975,0.000128920109661,0.000878262448913,58.0552106472,57.6387295857
39976,0.000767631553167,0.00034428394581,91.2853083899,91.177128688
39977,0.0213447927983,0.803523118531,-58.4422298352,-58.5504095371
39978,0.0790093603628,0.968501790276,-34.4492657329,-34.5574454348
39979,0.0313317539875,2.49613860921,-47.4162609746,-47.8327420362
39980,0.0722283340254,0.873363939921,-29.1964582547,-29.6129393163
39998,0.00476586178187,1.91720806017,-51.6622463419,-51.5033632585
39999,0.00607541568599,1.56230113321,-39.0372988957,-38.8784158124
40000,0.00662579841058,0.619008217879,-27.4723455488,-27.3134624655
40001,0.00715854627705,0.790959855596,-25.4981883852,-25.3393053018
40004,0.000389054466762,223.079149065,-176.70830188,-175.73848858
40005,0.00233039693855,254.024547006,-164.390977085,-163.421163786
40006,0.000870239678939,251.709775899,-185.009743963,-184.039930664
40007,0.00239482626883,200.340528617,-170.114159595,-169.144346296
40008,0.00124362215454,141.720266074,-114.239042158,-114.080159075
40009,0.00150395214624,150.445464685,-164.78172029,-163.811906991
40017,5.00774088692e-05,502.987944762,-476.967450298,-474.303041278
40018,5.34849711011e-05,459.590466156,-523.425682495,-520.557708086
40019,0.0,1037.84475515,-381.233089677,-378.716896601
40020,0.0,766.296518046,-401.099725862,-398.50805213
40021,2.80773599826e-05,1280.08984237,-346.258990795,-344.370112836
40022,0.0,5835.12164612,-333.090365722,-331.201487764
40023,4.40197705254e-05,1.69372960102e-10,-99.6231594426,-99.7313391445
40024,9.53615390999e-05,1.67249259996,-105.883803547,-105.991983249
40025,1.80739949753e-05,1.66098246268e-09,-163.104263137,-162.308472591
40026,4.25761830347e-05,16.4771842887,-95.444587696,-95.5527673979
40027,0.000355033012401,3.2233527132,-112.058763591,-111.664314436
