ID,a,h,AIC,BIC
39851,5.7865881864e-08,49297.6056699,-127.927418385,-128.70854256
39852,7.11245908835e-08,17563.2628836,-137.679249669,-138.460373844
39853,1.20382174451e-07,23313.6870347,-121.731698181,-122.512822356
39854,4.94367515813e-08,488.462894807,-127.829971801,-128.611095977
39855,5.16391303051e-08,75936.4071746,-135.487096544,-136.268220719
39856,1.4406322224e-07,24642.4314358,-118.700224734,-119.481348909
39857,1.31801017877e-07,5518.55482719,-125.634077557,-126.415201733
39858,1.00368851008e-07,2.0381948298e-06,-115.965480454,-116.746604629
39859,1.82300485818e-09,0.000551483009443,-128.159201235,-128.940325411
39860,1.03350351166e-07,30499.8790966,-127.62856553,-128.409689705
39861,2.08555612335e-07,51841.9730169,-124.702400427,-125.483524603
39862,5.96791709384e-08,16724.0224975,-129.412830244,-130.193954419
39913,1.06346558226e-08,1321.42504134,-82.9295341782,-84.1569454559
39934,112.841170189,0.000794485871349,176.291120585,178.071864101
39940,7.1612973751e-07,2175.64618561,-1647.90154446,-1643.13749119
39941,0.00140271492898,37.8164202319,-103.670750723,-103.276301568
39942,0.00546281313998,15.1393047227,-186.728931354,-184.546846447
39943,0.00779569734231,2.75500183025,-89.1302453029,-88.1604320033
39944,0.0459002489924,1.65716636041,-138.892282754,-136.536175093
39960,7.74069922715e-06,7020.12001934,-137.776122313,-138.192603375
39961,1.85914156292e-06,35784.8009826,-151.786641075,-152.203122136
39982,0.000186342865862,35.5860672147,-100.308341399,-99.9138922446
39987,5.26431612946e-06,58.492376926,-195.028701049,-193.247957533
39988,6.0630672738e-06,9.79518711647,-154.659122428,-152.570077552
39992,0.592326697941,0.14499861618,-14.3774038602,-13.9829547056
39993,1.88984086933e-05,2694.89989873,-131.417927819,-131.834408881
39994,7.10390439806e-07,12092.7615162,-181.71202049,-181.553137407
39995,7.20090377548e-07,4654.45599184,-173.13120753,-172.972324446
39996,1.10240036166e-06,3934.44920964,-172.760312041,-172.601428958
39997,2.76473161009e-06,2997.03587458,-158.122295979,-157.963412896
40002,1.19974713164e-06,1687.56419182,-145.84894988,-145.957129582
40003,4.95131303579e-06,2304.4841301,-141.594799396,-141.702979098
40010,0.0712609267114,1.94195370895e-09,46.799846895,46.3833658334
40035,1.58403660615,0.0131545734959,172.388552785,174.826304435
40036,2.08404263052,0.000869447255328,264.93222189,267.288329551
40037,0.162400608844,0.0194323706548,111.119634832,113.208679707
40057,0.000139256300173,527.468623261,-111.057318984,-111.473800045
40058,0.000171537010762,1626.97408602,-64.4055505685,-65.6329618462
40059,0.000157134703359,868.340064497,-164.672835769,-164.278386615
40060,7.93564590464e-05,557.353252429,-92.3419863746,-93.1231105497
40064,0.000105227977496,146.78175305,-235.752152668,-234.085725979
40065,2.8357118288e-05,170.944397426,-311.251187244,-309.162142368
40066,8.31614224677e-05,1.31613386856e-10,-173.739395604,-172.194218159
40067,4.91237799769e-05,8.02968247449e-08,-270.460399087,-268.022647437
40098,0.0,12118.8762733,-498.311708266,-495.955600605
40099,1.00248028037e-05,7670.27799296,-828.745883008,-825.3681241
40100,3.64111343654e-06,46044.9983597,-919.301412396,-915.923653488
40105,4.71331947982e-06,4467.70439743,-139.306801519,-139.72328258
40108,0.0,9.073853862,-502.120708399,-497.834438947
40109,0.0,14.6042162208,-591.969347839,-587.472357355
40110,0.0,13.3879597949,-657.738570155,-653.185237917
351,0.000506520514749,3.82513354324e-10,-46.7050091455,-44.61596427
814,7.51415566635e-06,574.131166108,-157.938184141,-157.543734986
445,9.17868306693e-07,1.48497467545e-06,-95.3925589586,-96.6199702364
450,9.16947264828e-06,14142.2093066,-146.953767497,-147.370248558
40114,0.0,3923.38152308,-90.0235742187,-90.8046983938
40121,0.00193909397997,5.51082848258,-69.1119375871,-69.5284186486
40122,0.0,9732.98653324,-600.348605086,-597.546210322
40123,0.00164513238539,91.2211724463,-75.7689784629,-76.1854595244
40124,0.000435887042157,112.796838463,-82.933397638,-83.3498786995
40128,0.00237525648401,2.00659960969,-37.2101001058,-37.3182798077
40129,0.0010114486628,0.24014939079,-32.880594281,-32.7217111976
