ID,a,h,q,AIC,BIC
39851,2.92457880136e-09,77993.1490461,0.675220715762,-127.819616541,-128.991302803
39852,4.10770384374e-08,23526.7617119,0.122675363224,-135.907654359,-137.079340622
39853,7.15020331832e-09,36770.3651694,0.639270028962,-121.856332097,-123.02801836
39854,6.4533394184e-09,19930.4263725,0.423707461565,-126.263386185,-127.435072448
39855,5.16408891205e-08,75938.5525353,1.5298513012e-09,-133.487096526,-134.658782789
39856,1.4407354576e-07,24642.6564661,5.70445270576e-07,-116.700224657,-117.87191092
39857,7.08529824791e-05,36883.9610121,3.40830128259e-06,-105.77606664,-106.947752903
39858,1.39952018863e-08,6420.10498929,0.382758776087,-114.156265131,-115.327951394
39859,3.64374552753e-09,220194.010232,0.298038605332,-140.930070315,-142.101756577
39860,3.91953585144e-08,37214.5752358,0.216131628197,-125.74433922,-126.916025483
39861,2.95348234758e-09,62480.6633462,1.0,-124.628108025,-125.799794287
39862,4.50032324739e-08,20786.3691803,0.0640720891705,-127.420993184,-128.592679447
39913,4.06630893659e-05,3567.63357887,1.58365408764e-05,-63.9620855235,-65.8032024402
39934,55.0519778286,0.000886927143405,0.388752730462,176.939087135,179.610202409
39940,7.16137671608e-07,2175.65491653,6.32945140744e-10,-1645.90154445,-1638.75546455
39941,0.00140223097089,37.8063986816,2.55621857015e-10,-101.670750097,-101.079076365
39942,0.00546291594716,15.1394100015,8.59647837914e-08,-184.728931177,-181.455803817
39943,0.00779612735078,2.75510317187,1.83741910575e-12,-87.1302452159,-85.6755252665
39944,0.0263250467175,1.83366987533,0.295490476121,-138.076239941,-134.54207845
39960,2.12826496093e-06,11494.1739418,0.859196605536,-139.099885384,-139.724606976
39961,3.83100992485e-07,52257.3365113,0.999999999596,-155.97342601,-156.598147602
39982,0.000143340494884,36.5295777263,0.0609917941835,-98.3290300009,-97.7373562689
39987,6.9579746409e-09,65.2326010223,0.824805616735,-196.753462038,-194.082346764
39988,0.10935179902,21.7074657494,1.25070680573e-06,-135.311180226,-132.177612913
39992,0.390054089237,0.218270560289,0.456348942198,-12.9763436833,-12.3846699513
39993,6.25971179047e-06,5703.74036482,0.999999999999,-144.468317899,-145.093039491
39994,1.7661324403e-08,15939.2562008,0.886132660088,-180.604192618,-180.365867993
39995,5.38840609909e-08,7545.43259459,0.610219215024,-171.528242822,-171.289918197
39996,1.54898278648e-08,6454.33516335,0.999999978065,-172.729534627,-172.491210002
39997,4.11648599652e-08,4002.27123313,0.999999976802,-159.548960131,-159.310635506
40002,1.20346004362e-06,1714.91956593,8.10013167651e-12,-143.84893451,-144.011204063
40003,7.98811313096e-07,3473.08043431,0.590708207807,-140.785586486,-140.947856039
40010,0.0427256871737,2.1595008004e-09,0.0532070015615,47.1865913483,46.561869756
40035,0.0374487923951,0.0145103712056,0.999999872733,172.369869785,176.026497259
40036,0.99081732775,0.0010598848324,0.16066962271,266.897642928,270.431804419
40037,0.00139157833616,0.0277150568343,0.999999999991,112.011122209,115.144689522
40057,3.0284962353e-05,834.943396961,0.999999999551,-113.743280294,-114.368001887
40058,3.81542494832e-05,1862.0034079,0.999999902367,-62.7517439213,-64.592860838
40059,6.68128011023e-05,1174.51445851,0.791889395888,-165.274131698,-164.682457966
40060,3.76375445339e-05,900.452497654,0.488456070569,-90.9226925787,-92.0943788414
40064,6.47013889177e-06,254.720602676,0.999999978215,-237.134918187,-234.635278154
40065,4.89353419275e-06,421.769261377,0.588219770488,-309.462774397,-306.329207084
40066,1.94602377375e-05,7.17858461563e-09,0.273224629386,-173.151659822,-170.833893655
40067,7.69987034732e-06,24.8989753377,0.407658519942,-268.614858685,-264.958231211
40098,0.0,21598.2721382,0.44122258912,-496.311708266,-492.777546775
40099,2.20781951987e-06,11793.3883128,0.999999998229,-830.757758162,-825.6911198
40100,2.7944306713e-07,49375.8529455,0.999999840824,-917.657532659,-912.590894297
40105,1.03923594463e-06,7066.53509538,0.65636601961,-153.546291808,-154.1710134
40108,0.0,13.0434782042,0.433051291392,-500.120708399,-493.69130422
40109,0.0,16.9811320434,0.140818405984,-589.969347839,-583.223862113
40110,0.0,26.4705880796,0.493252580283,-655.738570155,-648.908571798
351,4.02957197416e-05,6.28636476208e-10,0.275229165619,-56.3769418469,-53.2433745337
814,7.51550457556e-06,574.695206631,1.95539870407e-08,-155.93818388,-155.346510148
445,2.68924313485e-07,1532.5351512,0.298641818562,-99.1111609817,-100.952277898
450,9.16972538323e-06,14142.327886,3.49537188082e-09,-144.953767439,-145.578489032
40114,0.0,7201.44605037,0.512021465736,-88.0235742187,-89.1952604814
40121,0.00193930953814,5.51508835924,8.47953374183e-11,-67.1119374445,-67.7366590368
40122,0.0,12004.8019208,0.495488589582,-598.348605086,-594.145012941
40123,0.000204226091787,97.7730633639,0.999999999964,-81.8550832091,-82.4798048015
40124,0.000435909998276,112.797659119,1.93329796616e-09,-80.9333975823,-81.5581191746
40128,0.00237583139911,2.00677977469,4.16683060278e-09,-35.2100996782,-35.372369231
40129,0.000230612005851,0.323937774459,0.223441540201,-31.5217315576,-31.2834069326
