ID,x^3,x^2,x,c,AIC,BIC
39851,-8.1978219101e-06,1.75808313378e-07,-5.65819900598e-10,5.97416906594e-13,-129.879214005,-131.441462355
39852,-3.20126604528e-06,1.29685372041e-07,-3.47393850844e-10,3.94522303798e-13,-141.824324071,-143.386572421
39853,-1.43113786451e-05,3.22865606343e-07,-1.00065833506e-09,1.03609989477e-12,-123.700371896,-125.262620247
39854,2.43412365688e-06,-1.82208229235e-08,3.58285015007e-10,-4.97711298039e-13,-125.325862006,-126.888110356
39855,6.9359405e-07,4.68617611744e-08,-1.47474431454e-10,1.86701556776e-13,-133.602519591,-135.164767941
39856,-1.78496356407e-05,5.11261766039e-07,-2.16776136943e-09,2.79972085354e-12,-133.158644157,-134.720892507
39857,-1.12861321654e-05,3.4178769465e-07,-1.05296821469e-09,1.27668126283e-12,-131.425012375,-132.987260725
39858,1.30135330723e-05,-1.84403194201e-07,1.340272831e-09,-1.71683754028e-12,-113.423826083,-114.986074434
39859,1.94240942126e-07,1.77377433998e-08,-6.29216811355e-11,8.77664952665e-14,-143.306659509,-144.86890786
39860,7.07278411892e-06,-6.06572113955e-08,6.01103525013e-10,-9.20203647943e-13,-138.400478978,-139.962727328
39861,-5.10645767782e-06,2.14554052615e-07,-6.77916287606e-10,6.55210023691e-13,-126.045132038,-127.607380388
39862,-7.29432718755e-06,2.00173553963e-07,-7.13206222965e-10,8.88891039489e-13,-133.990811509,-135.553059859
39913,-1.09024130647e-05,8.57795247655e-09,-3.57919982259e-14,-2.38663829101e-20,-351.543959686,-353.998782241
39934,30.6682912397,68.6551650625,-1.47376734544,0.0099101666668,175.135658876,178.697145907
39940,3.11418086569e-05,3.69649405024e-07,-1.37902719944e-10,1.73726619137e-14,-1631.67611943,-1622.14801289
39941,0.00322924058538,0.000880307602258,-2.99285278202e-05,3.66795305876e-07,-108.231685856,-107.442787546
39942,0.0121366535373,0.00114863031293,2.14283260977e-06,-1.14893933893e-07,-185.046302341,-180.682132527
39943,0.0274906056743,0.00439314975791,-3.2548552159e-05,9.9202295554e-08,-91.2646550452,-89.325028446
39944,0.0122661841856,0.029122550981,-0.000577095522792,3.59354984491e-06,-143.917004772,-139.20478945
39960,1.30859256384e-07,4.16860176323e-06,2.51253207587e-07,-1.24991863752e-08,-153.6659324,-154.498894523
39961,-5.43480992809e-06,3.02031775221e-06,-1.35406586867e-07,1.98721521962e-09,-153.75013099,-154.583093113
39982,0.00375302195864,6.41526552307e-05,-6.35229516719e-08,2.0206217851e-11,-95.8121542168,-95.0232559075
39987,-0.00302471950125,3.84121327155e-06,-2.11717970422e-10,3.29944726496e-15,-200.437351744,-196.875864712
39988,0.0146754631961,9.27836708253e-07,6.95477810374e-11,-1.23267863571e-15,-152.830417908,-148.652328157
39992,-1.07055757878,1.09732543233,-0.103092425692,0.0034884714351,-12.2568859896,-11.4679876803
39993,-5.24608772488e-06,1.10681663498e-05,1.58134060764e-06,-1.07890400136e-07,-146.293581851,-147.126543974
39994,-8.09760298539e-06,6.74900202151e-07,-2.22524956164e-09,2.28156383732e-12,-179.639234508,-179.321468342
39995,-1.05836716341e-05,8.29126838174e-07,-2.00411414968e-09,1.76507772528e-12,-169.519471781,-169.201705614
39996,-3.61997434706e-05,1.67879025361e-06,-5.91793088952e-09,7.54784436908e-12,-170.867155168,-170.549389002
39997,-9.87533161206e-05,3.75881814689e-06,-1.28911454603e-08,1.2591377513e-11,-162.199794459,-161.882028293
40002,1.25637912812e-05,2.45885098435e-06,-4.8987709983e-08,3.08895023229e-10,-153.042337483,-153.258696887
40003,7.4308700228e-06,2.08431496725e-06,3.81197627246e-08,-3.4065751593e-10,-142.624687609,-142.841047013
