ID,a,h,AIC,BIC
39883,8.11430353009e-05,759.818337078,-990.15841332,-986.334367309
39884,5.9516019586e-05,10187.0377583,-117.415938572,-118.197062747
39885,9.28300758694e-05,8243.15913478,-126.372709627,-126.789190689
39886,6.41708108886e-05,10662.3774493,-117.014900001,-117.796024176
39887,1.05566906445e-05,2944.66673726,-112.696124679,-113.477248854
39892,1.94804576796e-05,298.230678958,-311.258463695,-309.369585736
39893,1.40370595247e-05,707.088917767,-327.878324664,-326.097581148
39894,0.00014581956556,734.724356467,-133.061583164,-133.169762866
39907,0.00078374842814,24.0802632477,-246.757413901,-244.575328994
39908,1.83961336884e-05,5140.42728033,-179.964183024,-179.80529994
39909,1.21497475143e-05,1291.78234109,-170.251858709,-170.092975626
39915,0.00220578262332,19.6188742625,-114.251081532,-113.281268233
39916,0.000583634477036,3.08690834904,-48.9472760426,-49.0554557445
39917,0.000135246297486,183.249931711,-95.7733761528,-96.5545003279
39918,0.00104769232693,16.3732388403,-90.5877425317,-90.193293377
39924,1.90884799691e-05,63346.1621817,-164.439525255,-164.856006316
39925,0.000978669820602,0.503972388858,-161.384375579,-158.217337702
39926,3.32349272254e-05,7206.37971643,-120.197552231,-120.978676406
39927,7.31218759298e-06,9337.37829509,-118.304604443,-119.085728619
39928,8.98129277824e-05,9479.01689699,-115.195478956,-115.976603131
39929,1.73582057739e-05,9198.06738351,-116.232002242,-117.013126418
39931,1.39564242652e-05,4469.29006024,-135.970697472,-136.387178533
39932,0.0,1.24089157332,-43.5387966079,-40.545781485
39933,0.00452124916609,773.664030813,-302.882748987,-301.216322299
39935,1.36075113466e-05,5344.67131609,-163.001013866,-163.109193568
39936,1.46197144517e-05,2631.11375951,-113.679105104,-114.095586166
39939,1.56104728499e-06,48.9106212781,-433.305444385,-430.373972579
39945,6.54823967516e-06,10143.8611043,-108.668127966,-109.449252141
39946,1.29459401033e-05,2469.93397278,-104.863166131,-105.644290306
39947,7.56969282811e-08,12291.6730875,-261.098641096,-260.30285055
39955,1.272136871e-05,1007.72381749,-144.955178271,-145.063357973
39956,8.85711244836e-06,1309.79863388,-138.187124787,-138.295304489
39957,8.07067829101e-06,789.702496266,-139.376888204,-139.485067906
39958,1.24800885244e-05,837.278225151,-142.437477939,-142.545657641
39959,6.44546022976e-06,129.114678358,-140.546723746,-140.654903448
39981,4.6639405693e-06,17125.2600548,-146.472720174,-146.889201236
39983,7.92624916921e-05,928494.837433,-329.200430494,-328.404639949
39984,1.17360204748e-05,1001.14779304,-123.287021206,-123.703502268
39985,1.16982198997e-05,783.188392725,-95.492763906,-96.7201751838
39986,1.51903100363e-05,32491.8133417,-105.255430783,-106.482842061
39989,4.74081604662e-06,9560.4640546,-185.788906745,-185.630023662
39990,4.31944137702e-06,14667.4022165,-182.71639708,-182.557513997
39991,1.64983398523e-05,23029.9319054,-204.277399358,-204.118516274
40011,1.25985346273e-05,7.49996009519e-07,-110.275853842,-111.056978017
40012,5.9909903789e-06,5.15690905312e-07,-92.5985671557,-93.8259784335
40013,113.662273227,2.01454370546,-55.5244093647,-55.3655262813
40014,39.3484021308,1.76708016434,-40.1092990981,-40.2174788
40015,7.94331049477,5.65785066948,-31.2923055186,-32.5197167964
40016,4.07076721136,3.70251298959,-31.9559299224,-33.1833412002
40033,0.220740228024,4.45418496534,-231.790352812,-228.315013575
40034,8.9859145902e-08,0.137525073019,-369.974771465,-369.178980919
40044,0.00202221515117,4.2119915159,-47.6089714225,-48.3900955977
40050,0.0855263752349,0.82733109927,-291.32387006,-285.412215944
40051,0.0567765487819,1.46062016939,-222.281654942,-216.973734242
40052,1.46018029199e-05,2595.89046844,-1472.97454654,-1468.47755605
40053,1.45537134382e-05,2511.22799429,-1483.1905703,-1478.69357981
40054,1.09865398783e-05,4328.36640821,-1451.57551062,-1447.07852013
40055,8.47927456538e-06,6911.37124867,-1518.69944605,-1514.20245556
40056,5.68219088646e-05,18227.2066028,-114.440986488,-115.222110663
40063,4.16151557658e-11,0.000742629205512,-446.284607503,-444.618180815
40101,1.51508940893e-05,36943.0272217,-1648.14249099,-1643.58915875
40103,2.44839296615e-07,35811.1253306,-190.425241767,-190.266358684
40104,3.71954984368e-07,65958.8615724,-207.367741743,-207.208858659
40106,2.52455314009e-06,32996.5613076,-125.686833324,-126.467957499
40107,2.56532397769e-07,9.74706255952e-06,-148.11147488,-148.892599055
708,2.60175174429e-05,2903.99397757,-105.563234605,-106.34435878
721,6.45757220097e-06,74282.3551442,-163.453267534,-163.869748596
687,1.99608525022e-05,7560.74145191,-1299.20530459,-1295.01661547
691,1.2338596703e-05,4051.71240721,-1241.35288761,-1237.16419849
695,6.63858041339e-05,242.2325748,-93.8545952894,-94.6357194646
