ID,a,h,q,AIC,BIC
39883,3.33860359918e-05,1226.76597495,0.648576766234,-1007.97460425,-1002.23853524
39884,5.21861720246e-05,10961.4294308,0.358302095952,-116.907914314,-118.079600577
39885,7.0900507775e-05,9439.86174921,0.999999995756,-125.334621705,-125.959343297
39886,5.60541636927e-05,12082.1117237,0.664992656112,-117.680778402,-118.852464665
39887,1.05566288884e-05,2944.6251599,1.0496970515e-09,-110.69612467,-111.867810933
39892,2.66338186394e-07,419.231514161,0.999999999925,-326.784664406,-323.951347469
39893,4.96347995593e-07,1222.390604,0.999999999997,-336.20071868,-333.529603406
39894,0.000113954079555,796.409922887,0.174002261334,-131.522724429,-131.684993982
39907,0.000783789246622,24.0816899276,3.67906816123e-11,-244.75741389,-241.48428653
39908,9.13615436393e-06,5722.30952264,0.386004857054,-180.610831887,-180.372507262
39909,1.21497895105e-05,1291.78060446,4.72392992501e-08,-168.251858682,-168.013534057
39915,0.000357359670539,20.5995613126,0.644716859157,-112.852518554,-111.397798605
39916,1.45121455586e-06,3.42863285332,0.999999999826,-67.599947598,-67.7622171508
39917,9.21320717651e-05,264.411956709,0.229369159793,-97.8183852732,-98.9900715359
39918,0.00104785703355,16.3740394012,1.14309672838e-11,-88.5877425302,-87.9960687982
39924,2.25180210851e-05,67440.484778,0.455759723543,-176.805647021,-177.430368613
39925,5.33870906267,1.79051764296,1.17664084119e-05,-100.002545484,-95.2519886687
39926,3.32350910228e-05,7206.40306261,1.22679644221e-14,-118.197552231,-119.369238494
39927,2.88350832833e-06,18948.1892971,0.999999999494,-122.509890551,-123.681576814
39928,8.98037441672e-05,9478.77827629,5.14088771553e-13,-113.195478715,-114.367164978
39929,1.7357510236e-05,9197.74615578,4.48002746012e-11,-114.232002221,-115.403688484
39931,1.39564919719e-05,4469.28579502,9.41108635466e-10,-133.970697459,-134.595419051
39932,0.0,1.35783458211,0.17095521913,-41.5387966079,-37.0492739235
39933,0.0110024304985,842.683430841,0.999999865146,-301.759025285,-299.259385253
39935,6.34574940128e-06,7258.13404269,0.54845870201,-165.887801411,-166.050070964
39936,9.6314308129e-07,3233.25185358,0.999999998794,-113.626956626,-114.251678218
39939,1.56111388505e-06,48.9166463564,1.93168819829e-09,-431.305444301,-426.908236592
39945,7.32628010702e-07,12701.2189433,0.999999999712,-110.923296684,-112.094982947
39946,2.0869613484e-06,3553.18897811,0.776529720286,-108.386421864,-109.558108126
39947,2.00908114589e-08,15023.7301954,0.235727253022,-259.292887889,-258.09920207
39955,8.09928634227e-06,1296.80807772,0.171323453552,-143.204509445,-143.366778997
39956,4.81499706995e-07,2592.42927355,0.999999998484,-138.237109022,-138.399378574
39957,1.83398748566e-06,1793.46766415,0.527116138702,-138.085693085,-138.247962637
39958,2.68222800393e-06,1513.48708704,0.550143630895,-142.696761384,-142.859030937
39959,5.49588085486e-06,317.720037984,0.0577924885511,-138.558058299,-138.720327851
39981,4.66439434144e-06,17125.5871209,2.96403845912e-09,-144.472719976,-145.097441568
39983,7.89255740008e-05,928236.180646,2.19482601316e-07,-327.200420573,-326.006734754
39984,4.76926837267e-06,1469.79481758,0.33032239663,-122.57143138,-123.196152972
39985,1.16982201332e-05,783.188435414,4.05231403988e-15,-93.492763906,-95.3338808226
39986,1.51895027012e-05,32490.6530132,8.64355031993e-10,-103.255430569,-105.096547485
39989,4.74049817978e-06,9559.8803356,3.78629905207e-11,-183.78890665,-183.550582025
39990,4.31824668246e-06,14664.5554428,2.26176855023e-10,-180.716396516,-180.478071891
39991,1.64989321323e-05,23030.0972308,7.42739203474e-14,-202.277399307,-202.039074682
40011,4.68341798898e-06,4692.98785547,1.0,-114.320815986,-115.492502249
40012,2.51551377839e-06,11045.11511,0.999999999985,-93.1189706749,-94.9600875916
40013,113.656245405,2.01453493535,3.6279701543e-07,-53.5244090725,-53.2860844475
40014,39.3431622936,1.76704657185,8.105266458e-11,-38.1092987435,-38.2715682963
40015,4.80687730644,5.27745713252,1.2671090223e-05,-26.7468792448,-28.5879961615
40016,20.5477430362,4.09940271686,0.519335923531,-40.4107956018,-42.2519125184
40033,0.220903133134,4.45435023328,3.61061297527e-09,-229.79034939,-224.577340535
40034,4.70198318059e-08,9.88499655004,0.75600077013,-372.953195085,-371.759509267
40044,0.000397427602893,5.31190064655,0.437640467033,-53.8715284898,-55.0432147525
40050,0.0856247453678,0.827528465319,1.62515112478e-10,-289.323833002,-280.45635183
40051,0.0568854642406,1.46083534696,3.15619921309e-08,-220.281645378,-212.319764328
40052,1.96402477237e-06,4460.4508128,0.999999639924,-1486.12462567,-1479.37913994
40053,2.0704872512e-06,4318.80400528,0.963243096356,-1498.3546515,-1491.60916577
40054,2.35990222941e-06,6689.06685726,0.8098183454,-1452.61726549,-1445.87177977
40055,8.47959502548e-06,6911.59524193,3.90314383036e-08,-1516.69944593,-1509.9539602
40056,0.000129734507047,25460.9329445,0.99999999996,-113.607646485,-114.779332747
40063,5.78945780205e-11,272495.629425,0.236803620225,-495.80263165,-493.302991617
40101,1.51490646494e-05,36941.2722571,5.89966667186e-08,-1646.14249044,-1639.31249209
40103,2.44789331472e-07,35812.3981632,6.09982579032e-05,-188.425241465,-188.18691684
40104,3.71994155701e-07,65961.5323036,8.57974691293e-10,-205.367741707,-205.129417082
40106,1.35438809235e-06,46055.3706458,0.509963907411,-124.056432322,-125.228118585
40107,1.92040058078e-07,5.76974335775e-06,0.0792171964989,-164.363575175,-165.535261437
708,1.38612631924e-05,3248.38851402,0.320269546655,-104.249043829,-105.420730092
721,6.45768225027e-06,74282.5468422,4.28654667317e-10,-161.453267527,-162.077989119
687,6.75780730486e-06,9434.35512855,0.906861653182,-1307.67814775,-1301.39511407
691,1.11021412508e-05,4433.93109843,0.0740770728286,-1239.40987495,-1233.12684127
695,6.63861010473e-05,242.235579714,4.20774526333e-14,-91.8545952909,-93.0262815536
