ID,x^2,x,c,AIC,BIC
39883,-5.730044e-05,8.3068525e-05,-2.4051875e-06,-1019.58986606,-1013.85379704
39884,2.86945752955e-05,1.06059077424e-05,-3.95987520463e-07,-118.248001762,-119.419688025
39885,4.07288571146e-05,1.62931775692e-05,-9.37362944664e-07,-123.232063164,-123.856784756
39886,2.08204993005e-05,1.61918809857e-05,-9.79699774023e-07,-125.101754635,-126.273440898
39887,1.36080444444e-05,7.10325555556e-06,-6.56388888889e-08,-111.593029729,-112.764715991
39892,-0.000279182766312,1.84346030723e-05,-3.19672796365e-08,-334.382061367,-331.548744429
39893,-0.000202152831237,1.82124118766e-05,-8.97003823178e-08,-338.011915256,-335.340799983
39894,0.000241097554038,4.16624130809e-05,-4.74118960385e-07,-122.745203667,-122.90747322
39907,0.004446464875,0.000296492884196,-1.7535386486e-07,-248.443398141,-245.170270781
39908,4.81938592327e-05,3.51007049661e-06,-2.06442986064e-08,-167.873176939,-167.634852314
39909,2.30683722395e-05,8.13023372005e-06,-3.41679323615e-08,-164.498080182,-164.259755557
39915,0.0227432372193,8.75398999019e-05,-6.36050425661e-08,-108.038168748,-106.583448798
39916,0.0912281259989,0.000113172499923,-1.26363852998e-08,-40.5751457395,-40.7374152923
39917,-4.41436972486e-05,0.000130540098949,-1.69703011777e-06,-96.6589564443,-97.830642707
39918,0.0152100374677,0.000185288928205,-2.01920468614e-07,-111.515299643,-110.923625911
39924,3.5506845044e-06,3.84765641044e-06,-7.25339651517e-08,-160.99048263,-161.615204222
39925,0.0558421630679,0.000724782346426,-1.21686557358e-07,-162.016404942,-157.265848127
39926,2.1478718332e-05,1.24772850399e-05,-4.56724963471e-07,-133.304400937,-134.476087199
39927,-9.03092643588e-06,1.02803329774e-05,-4.72406429133e-07,-121.289767813,-122.461454076
39928,5.07411101495e-05,6.35021973699e-06,-1.51925592896e-07,-121.063167074,-122.234853337
39929,1.49900472069e-05,6.82070641789e-06,-1.62029335731e-07,-117.885692942,-119.057379205
39931,2.20917013985e-05,6.45552728606e-06,-7.41745911802e-08,-133.519201251,-134.143922844
39932,0.32706095058,0.621780215125,-0.354873568226,-162.827047044,-158.337524359
39933,0.00070048220921,0.00027175198576,-3.51796443975e-05,-297.060424626,-294.560784594
39935,2.45401649788e-06,9.58602519324e-06,-1.85859955107e-07,-159.69809353,-159.860363083
39936,2.59348360705e-05,6.99253459919e-06,-4.11533950438e-08,-111.629821548,-112.254543141
39939,0.000566529695926,1.0279401002e-06,-8.20977501206e-12,-433.354532872,-428.957325164
39945,-8.63558221873e-06,4.74940035967e-06,-5.82083848488e-08,-111.64034123,-112.812027493
39946,-1.93546396538e-05,1.16400641789e-05,-1.18618671462e-07,-114.495791995,-115.667478258
39947,2.55305592978e-06,5.18408338024e-08,-1.38522920326e-11,-259.625318337,-258.431632519
39955,-9.58857142857e-07,1.13206785714e-05,-6.7915e-08,-144.082470052,-144.244739604
39956,-7.08807142857e-05,1.22390488095e-05,-9.64372619048e-08,-139.371973061,-139.534242614
39957,-4.41785714286e-05,1.02001488095e-05,-5.96729761905e-08,-138.328432527,-138.49070208
39958,-4.98808571429e-05,1.43338916667e-05,-9.62729761905e-08,-144.567293072,-144.729562625
39959,-4.90585714286e-06,6.70544880952e-06,-8.00154761905e-09,-138.55822329,-138.720492843
39981,2.008e-05,8.30571428571e-07,-5.71428571429e-09,-146.059035882,-146.683757474
39983,9.24708779235e-07,2.19590740513e-07,-5.35158254783e-08,-327.283886593,-326.090200774
39984,-1.13323773482e-05,1.12281388511e-05,-6.43473128233e-08,-123.639578346,-124.264299938
39985,1.18063333333e-05,9.98496645161e-06,-4.23759139785e-08,-95.6026227266,-97.4437396433
39986,8.1e-06,3.48806451613e-06,-1.66129032258e-07,-103.584918152,-105.426035069
39989,1.51111800569e-05,1.58537802012e-06,-3.84679892288e-09,-187.768521027,-187.530196402
39990,1.63433542338e-05,5.07862847916e-07,1.29826528548e-08,-183.613589485,-183.37526486
39991,1.92302518276e-05,1.54376821052e-06,-2.61351866646e-08,-198.566001797,-198.327677172
40011,-2.24287790574e-05,1.92278623463e-05,7.39342795092e-08,-115.501796191,-116.673482454
40012,-8.37495123248e-05,6.25461141378e-05,-8.64485698066e-06,-110.370169054,-112.211285971
40013,0.387477567888,0.600416292355,-0.568369385053,-44.602861401,-44.364536776
40014,0.349040527321,0.863852646841,-0.638529628196,-39.4320572841,-39.5943268369
40015,0.106310775166,0.202705738223,-0.126918785894,-31.1591148694,-33.000231786
40016,0.0624342805865,0.861025694282,-0.815137034729,-24.5055467238,-26.3466636404
40033,0.155514372159,0.000249476976119,-2.374396295e-08,-237.653519399,-232.440510544
40034,9.47066687163e-08,-6.88349874188e-08,4.9648760965e-08,-373.031264173,-371.837578355
40044,0.0106788380818,0.00122049353852,-2.36826150505e-06,-46.0474750866,-47.2191613493
40050,0.514914771782,0.00538105327604,-8.77525654898e-06,-294.536354599,-285.668873427
40051,0.534022009221,0.000398724595999,-2.02628043253e-07,-219.675774152,-211.713893102
40052,-2.89155867769e-05,1.61313908033e-05,-2.87439203931e-07,-1491.8445003,-1485.09901457
40053,-2.94764933884e-05,1.62966577529e-05,-2.88918002263e-07,-1507.64756943,-1500.90208371
40054,-1.04641892562e-05,1.01289054555e-05,-1.80556374213e-07,-1453.46253786,-1446.71705213
40055,1.9921085124e-05,3.45572213941e-06,-3.16959532418e-08,-1516.69185535,-1509.94636962
40056,-9.80645828545e-06,6.58532751092e-05,-2.21970121811e-05,-115.286195516,-116.457881779
40063,1.16826857186e-06,1.05353588516e-10,-1.24425630075e-15,-498.786583009,-496.286942977
40101,1.1966186063e-05,1.00908496008e-06,-1.59369885757e-08,-1646.68201279,-1639.85201444
40103,3.5263597878e-07,1.94423840937e-07,-5.90175100119e-10,-188.90702233,-188.668697705
40104,2.86226196319e-06,1.1078363684e-07,-3.19153016218e-10,-206.531611683,-206.293287058
40106,-9.98328932886e-07,2.28088851309e-06,-6.7726077355e-08,-125.357501624,-126.529187887
40107,-1.31714525257e-07,2.40081743869e-07,4.89205617271e-10,-167.440033106,-168.611719369
708,7.54098823529e-05,6.78967305503e-06,-5.03790891841e-08,-99.2415791111,-100.413265374
721,5.95208469519e-06,4.51951032818e-07,-7.03620612694e-09,-155.599830284,-156.224551876
687,5.649586875e-06,1.01270913296e-05,-2.25153388287e-07,-1300.94141194,-1294.65837825
691,4.07044625e-06,9.1844730525e-06,-1.44195076782e-07,-1239.5065793,-1233.22354561
695,8.49714324392e-05,5.15057850096e-05,-3.03433294279e-07,-92.1410826714,-93.3127689341
