ID,x^3,x^2,x,c,AIC,BIC
39883,-5.46903375e-06,5.51523114583e-05,1.0047734375e-06,-1.13665364583e-07,-1024.17272429,-1016.52463227
39884,1.77808449495e-05,1.84184013061e-05,-1.4805745072e-06,3.61589575876e-08,-140.117863089,-141.680111439
39885,-1.89358722699e-05,6.70462482032e-05,-1.08049866238e-05,5.08932209664e-07,-126.077650962,-126.910613086
39886,1.43764127238e-05,2.20040116531e-05,-2.12503147126e-06,5.93331575255e-08,-136.861927999,-138.424176349
39887,1.17372641975e-05,7.94859259259e-06,-1.41893518519e-07,1.81558641975e-09,-109.629411489,-111.19165984
39892,-3.55119782116e-05,9.23736729571e-06,3.79582674252e-08,-1.26079667297e-10,-340.588162959,-336.810407043
39893,-0.00029315343714,2.51728014905e-05,-2.14416659861e-07,6.15882852066e-10,-337.170766747,-333.609279715
39894,6.1861173917e-05,9.03809051568e-05,-2.88021778034e-06,3.06892893553e-08,-128.031967109,-128.248326513
39907,0.00170814865205,0.000715569300676,-1.34023908223e-05,1.06951810148e-07,-250.246425408,-245.882255595
39908,2.55372712729e-05,7.00096871942e-06,-1.10680239946e-07,5.23292791169e-10,-170.857868732,-170.540102565
39909,-8.75121374785e-06,1.30329550111e-05,-1.60617086246e-07,7.34927959796e-10,-169.824957593,-169.507191426
39915,0.0192227700346,0.000169970795955,-2.87110161168e-07,1.42015888757e-10,-107.780273371,-105.840646772
39916,0.020209199895,0.000286667144991,-7.2661442022e-08,5.31906698155e-12,-55.6730966024,-55.8894560061
39917,-0.000261843363269,0.000193762917606,-6.31885142114e-06,8.94374027575e-08,-98.583685917,-100.145934267
39918,0.0154109573431,0.000176078852021,-1.45066616625e-07,-8.6286718912e-11,-109.618659924,-108.829761615
39924,1.27238414217e-06,8.56143418061e-06,-1.59335941345e-06,2.85492355654e-08,-174.706125531,-175.539087654
39925,0.170178051267,0.000344840041891,2.06011455745e-07,-7.22115399785e-11,-162.790123951,-156.456048198
39926,2.42094538583e-05,9.80727179603e-06,1.20480337458e-07,-3.11956430446e-08,-134.208224106,-135.770472457
39927,-6.91206614173e-06,8.20858893888e-06,-2.45353768279e-08,-2.42056430446e-08,-119.411183563,-120.973431913
39928,4.19947766929e-05,1.49020644469e-05,-2.00066926884e-06,9.99172178478e-08,-121.5401268,-123.102375151
39929,3.02134645669e-05,-8.06419385077e-06,3.05579865017e-06,-1.73910761155e-07,-120.815041164,-122.377289514
39931,5.28815166103e-06,1.23956258187e-05,-4.8104888834e-07,7.16293849704e-09,-136.331945734,-137.164907857
39932,0.272832681068,1.34310652457,-2.09054933727,1.0816611196,-164.610288695,-158.624258449
39933,0.00045107500398,0.000885953722244,-0.000348355414237,4.24917246883e-05,-301.317097029,-297.984243653
39935,-8.27662321365e-06,1.47339358683e-05,-6.39543967711e-07,9.92958210657e-09,-164.278155856,-164.49451526
39936,-9.42146811664e-05,1.99103188188e-05,-3.04464584501e-07,1.37893864619e-09,-115.243216855,-116.076178978
39939,0.000472373962544,1.2420769405e-06,-9.55565636066e-11,8.51555781914e-15,-431.442596322,-425.579652711
39945,-3.67071181102e-05,1.02388644169e-05,-2.95551608549e-07,2.56549081365e-09,-114.364669958,-115.926918308
39946,2.42651401575e-06,7.38070121935e-06,6.55397318335e-08,-1.99060535433e-09,-117.765691256,-119.327939607
39947,1.80258571966e-06,5.83597980289e-08,-2.30548075751e-11,3.17712290832e-15,-257.689575102,-256.097994011
39955,6.52451428571e-05,3.78077857143e-06,1.52765e-07,-1.839e-09,-143.766008569,-143.982367973
39956,8.14092857143e-05,-5.10509007937e-06,4.11196071429e-07,-4.23027777778e-09,-143.396757851,-143.613117255
39957,3.88142857143e-06,4.72664880952e-06,1.0052702381e-07,-1.335e-09,-136.683926256,-136.900285659
39958,6.76621428571e-05,9.4705e-07,2.9553702381e-07,-3.26508333333e-09,-151.53298213,-151.749341534
39959,3.48231428571e-05,2.18075714286e-06,1.24428452381e-07,-1.10358333333e-09,-136.807373485,-137.023732888
39981,2.82e-05,-1.90873015873e-07,2.8119047619e-08,-3.22222222222e-10,-144.783898306,-145.616860429
39983,8.57498102229e-07,7.32264310243e-07,-7.2698851749e-07,2.00562479803e-07,-325.49972695,-323.908145859
39984,5.22975661247e-05,8.1111208825e-07,2.9067023273e-07,-2.94167053552e-09,-130.996860108,-131.829822232
39985,-1.12092380952e-05,1.55516e-05,-3.71523333333e-07,5.11457142857e-09,-357.08913713,-359.543959686
39986,-3.85714285714e-07,1.375e-05,-3.2e-06,2.35714285714e-07,-364.935771154,-367.39059371
39989,1.13742395485e-05,2.72125589404e-06,-7.4547172396e-08,1.14191925933e-09,-186.43338675,-186.115620583
39990,3.56624137887e-06,4.39158530799e-06,-2.28751634516e-07,3.90437878652e-09,-188.084250252,-187.766484085
39991,1.55602392121e-05,2.65930272803e-06,-9.55693299127e-08,1.12146770285e-09,-199.38075171,-199.062985543
40011,6.3177721672e-05,-0.000109122413257,5.28241107172e-05,-6.23011352646e-06,-135.372487688,-136.934736039
40012,-0.00520717815958,0.00593353738696,-0.00215585582349,0.000249121988907,-315.592167965,-318.046990521
40013,0.352246886878,1.96555591546,-7.70667446689,7.04287123527,-46.0050243965,-45.6872582298
40014,0.301708085764,2.37911094299,-8.20513304229,7.37369813752,-41.4050498465,-41.6214092502
40015,0.0766621005453,1.01906032668,-3.81661336381,3.4786711287,-285.771317923,-288.226140478
40016,-0.00589081073212,2.74504107723,-9.33613300097,8.0326470104,-275.846871607,-278.301694163
