ID,x^4,x^3,x^2,x,c,AIC,BIC
39883,-3.07417203125e-05,7.4122775e-05,-2.88165338542e-06,1.80125e-07,-7.34475911459e-09,-1022.44204328,-1012.88192825
39884,1.96641309155e-05,1.62178667256e-05,-8.61577473095e-07,-2.20462922011e-08,1.62612413386e-09,-451.469677651,-453.422488088
39885,3.61911622337e-05,-3.381151219e-06,1.43533259171e-05,-2.70228154359e-06,1.3103143021e-07,-126.124425545,-127.165628199
39886,1.04281385281e-05,2.74384559885e-05,-4.06046176046e-06,3.03751803752e-07,-9.88455988456e-09,-437.30361093,-439.256421368
39887,-3.43276296296e-05,3.84522376543e-05,-4.90373842593e-06,2.64131944444e-07,-4.68422067901e-09,-423.631667281,-425.584477719
39892,0.000230319633052,-6.90680877308e-06,2.82969224684e-07,-1.39235410205e-09,1.92918021785e-12,-341.202868628,-336.480673733
39893,2.80446596343e-05,-8.45386345575e-06,7.72235747148e-07,-1.03110208516e-08,4.04700137174e-11,-336.461062831,-332.009204042
39894,-9.50752213555e-05,0.000153060097947,-8.4866756449e-06,2.01288115843e-07,-1.64967733692e-09,-135.819324012,-136.089773267
39907,0.00484257794875,-7.56196367859e-05,3.51021281682e-05,-8.62593597839e-07,5.99222820658e-09,-251.198401874,-245.743189608
39908,-1.48274464966e-05,1.70587405382e-05,-6.22034929989e-07,8.87911352459e-09,-3.97499579724e-11,-194.358771427,-193.961563719
39909,2.68958486636e-05,4.15069249188e-06,2.9097265741e-07,-6.64430022863e-09,3.51041531068e-11,-176.388722047,-175.991514338
39915,0.0186320324343,0.000196240637436,-4.2007670887e-07,3.58307615444e-10,-1.0714079173e-13,-105.795492624,-103.370959375
39916,-0.0724099022252,0.000643144354583,-3.89097512042e-07,8.07592995313e-11,-5.31824598019e-15,-80.2975340622,-80.567983317
39917,-0.00128547949231,0.000670850105769,-7.68835701122e-05,3.91349789663e-06,-6.41745092147e-08,-402.863314367,-404.816124805
39918,0.0133508285404,0.000316529009866,-1.7735324764e-06,5.92420890738e-09,-6.87130653936e-12,-123.976090134,-122.989967247
39924,-4.85497090812e-08,1.27995882974e-05,-4.78690372379e-06,7.12533567197e-07,-1.24359627929e-08,-204.573343322,-205.614545976
39925,-0.0607261732886,0.00144736733853,-1.34984792237e-06,7.26466433538e-10,-1.3075885771e-13,-162.364621325,-154.447026633
39926,1.72420363636e-05,1.97477636364e-05,-3.92345757576e-06,5.60281818182e-07,-2.66242424242e-08,-452.058592829,-454.011403267
39927,2.36863636364e-05,-3.5446530303e-05,1.77350075758e-05,-2.62176515152e-06,1.16924242424e-07,-431.693965856,-433.646776293
39928,1.72638545455e-05,5.01859454545e-05,-1.6354669697e-05,2.19937272727e-06,-9.4503030303e-08,-426.361251999,-428.314062437
39929,3.62272727273e-06,2.98731060606e-05,-1.23776515152e-05,2.0834280303e-06,-1.01609848485e-07,-427.671882987,-429.624693425
39931,3.01844666041e-05,-4.33559528887e-07,1.11624029257e-06,-6.143244548e-08,9.3361979689e-10,-144.605159427,-145.64636208
39932,0.356907721127,-0.217433647826,4.62462659231,-8.70392074795,4.51893998098,-169.013911703,-161.531373896
39933,0.00025729547795,0.00149953576089,-0.000850453706008,0.000192348070486,-1.47283019057e-05,-299.901764992,-295.735698272
39935,5.39129475936e-06,3.93206614306e-06,1.25700278569e-06,-9.61403298557e-08,1.81216346444e-09,-176.725139223,-176.995588478
39936,3.37326564472e-05,6.31859182581e-08,4.67103747454e-07,-8.90518529015e-09,4.30093444662e-11,-124.309856023,-125.351058677
39939,0.000539402929631,1.0150699426e-06,7.18022374208e-11,-3.18894434707e-14,2.98837623586e-18,-429.47130635,-422.142626836
39945,1.39763636364e-05,-4.22327272727e-06,8.8113030303e-07,-3.18554545455e-08,3.09878787879e-10,-428.884947888,-430.837758326
39946,-3.36448e-05,1.767337e-05,-7.71902e-07,2.25067e-08,-2.2054e-10,-418.619933554,-420.572743992
39947,5.04174350425e-06,2.00749182228e-08,6.77534582752e-11,-6.88317970954e-14,1.80747710648e-17,-256.678144337,-254.688667973
39955,-9.66588571428e-05,2.94564634199e-05,-1.08400166667e-06,2.10565151515e-08,-1.43096969697e-10,-144.727068147,-144.997517402
39956,-1.7727e-05,1.06165229076e-05,-3.46095e-07,9.7889949495e-09,-8.76204545455e-11,-142.312929545,-142.5833788
39957,-0.000331054,5.78426713203e-05,-2.4580075e-06,4.60296060606e-08,-2.96028787879e-10,-140.069879171,-140.340328426
39958,-6.49442857143e-05,2.1976554329e-05,-7.1742875e-07,1.54873409091e-08,-1.17202651515e-10,-158.003178613,-158.273627868
39959,-0.000300999,5.54374e-05,-2.44087958333e-06,4.63864166667e-08,-2.968125e-10,-140.383943653,-140.654392908
39981,3.54e-05,-1.43087301587e-06,9.48333333333e-08,-1.72222222222e-09,1e-11,-142.878876655,-143.920079309
39983,8.57811689219e-07,7.2782561376e-07,-7.13150386828e-07,1.88159399565e-07,3.1092994051e-09,-323.499728467,-321.510252103
39984,-1.07283491965e-05,1.62015398018e-05,-7.06057610515e-07,1.96855621963e-08,-1.55629466967e-10,-142.136128964,-143.177331618
39985,NA,NA,NA,NA,NA,NA,NA
39986,NA,NA,NA,NA,NA,NA,NA
39989,1.10142712846e-05,2.88639334426e-06,-9.26241750759e-08,1.82314843011e-09,-8.19087637201e-12,-184.435952686,-184.038744978
39990,9.06408275856e-07,5.61179858989e-06,-3.62323993408e-07,8.93803336409e-09,-6.05230135647e-11,-186.258307717,-185.861100008
39991,1.30953580489e-05,3.7900807194e-06,-2.19351529248e-07,5.78618156635e-09,-5.60869912873e-11,-198.011897604,-197.614689895
40011,0.00414700781008,-0.00846719503172,0.00576844591344,-0.00158282229354,0.000148605688445,-395.881768032,-397.83457847
40012,NA,NA,NA,NA,NA,NA,NA
40013,0.273078371794,7.5486713853,-78.6624334096,260.535312044,-221.327948782,-62.2773214803,-61.8801137719
40014,0.197395281059,8.34417403696,-79.5585059444,256.280307414,-215.525253606,-65.2624988123,-65.532948067
40015,NA,NA,NA,NA,NA,NA,NA
40016,NA,NA,NA,NA,NA,NA,NA
40033,0.134435889109,0.00246460258753,-2.38708828271e-05,4.86759842224e-08,-4.63134005086e-12,-236.211798778,-227.523450686
40034,-3.13890714634e-05,5.93506351304e-05,-4.14235165781e-05,1.26944615198e-05,-1.43893732752e-06,-372.094578914,-370.10510255
40044,0.0106474360779,0.000892838795346,6.88392765303e-06,-6.27651035022e-08,1.18845433593e-10,-363.084746609,-365.037557047
40050,0.370542794189,0.0189290900796,-0.000240031894356,1.17400768651e-06,-1.69550641147e-09,-294.842814063,-280.063678775
40051,0.52415261103,-0.000182206085553,5.06664961579e-06,-8.65384343218e-09,3.49619589449e-12,-219.789095383,-206.519293633
40052,2.9945061171e-05,-3.59916651492e-06,1.66843479249e-06,-7.43979360547e-08,9.58831716718e-10,-1491.20984569,-1479.96736948
40053,6.2757468567e-05,-1.46172903173e-05,2.77512162111e-06,-1.16533653975e-07,1.50166685453e-09,-1514.57684835,-1503.33437214
40054,-2.4617453621e-05,1.57885554585e-05,-8.51842439563e-07,2.98236931259e-08,-4.36342287596e-10,-1449.62223704,-1438.37976082
40055,-1.01832699538e-05,1.21018723844e-05,-7.1473251411e-07,1.92102322702e-08,-1.65522214027e-10,-1516.23981208,-1504.99733587
40056,-5.66457142857e-05,0.000464214285714,-0.001037,0.000928685714286,-0.000257554285714,-437.361130053,-439.313940491
40063,6.96874530185e-06,-6.77043067231e-10,3.45558267261e-14,-6.70536979038e-19,4.40686795499e-24,-497.226947142,-493.060880421
40101,4.81758266001e-06,6.73794145489e-06,-9.72096317736e-07,5.17078029191e-08,-8.64507670699e-10,-1645.46671651,-1634.08338591
40103,-3.37431648847e-06,7.30421069962e-07,-1.64671205747e-08,1.459414442e-10,-4.051306603e-13,-189.450296356,-189.053088648
40104,4.24054003395e-06,-2.40239710538e-08,2.62425974969e-09,-2.23998506387e-11,5.494341062e-14,-202.827912899,-202.430705191
40106,-1.93623567609e-05,1.33767892157e-05,-2.17070126687e-06,1.50153297683e-07,-3.52887063916e-09,-439.708669475,-441.661479913
40107,-3.30952380952e-08,1.92058730159e-07,6.43746031746e-09,-2.38920634921e-10,2.76825396825e-12,-469.367779141,-471.320589579
708,2.17448761905e-05,1.19365535714e-05,1.31242083333e-07,-1.18235178571e-08,1.10789761905e-10,-413.90628652,-415.859096958
721,2.35044758985e-06,2.28820870524e-06,-1.82218806863e-07,5.63310341997e-09,-5.7866629688e-11,-170.459867622,-171.501070276
687,4.43776190476e-08,1.03655332501e-05,5.07211991926e-07,-7.23454971329e-08,1.54512878867e-09,-1305.71973883,-1295.24801602
691,-5.31804444444e-07,1.27384930795e-05,-7.59440398099e-07,3.51525100965e-08,-6.01625100954e-10,-1235.5762548,-1225.10453199
695,0.000965653249084,-0.000335401577717,4.9164019475e-05,-2.38225292659e-06,3.77106932998e-08,-395.872469514,-397.825279952
