ID,a,h,AIC,BIC
39835,9.66380070848e-05,29.2920649502,-125.023107742,-124.864224658
39836,2.81843372878e-05,167.043323766,-225.507553532,-224.902383346
39837,1.30113829613e-05,165.281993758,-201.55354308,-200.948372894
39838,6.24073601219e-06,168.116366866,-233.838304224,-233.233134038
39839,5.13467659391e-06,576.12648364,-212.865694833,-212.260524647
39840,0.0,1.18155632783,-51.4044472298,-48.2374093529
39841,1.84944420339,0.934028071937,-151.964389984,-148.537245851
39842,1.00821866468,0.899819182764,-94.44293049,-91.3902094407
39843,1.79471137938,0.862562438594,-106.690386531,-104.025977511
39844,1.4425631694,0.887724248144,-146.618752662,-143.143413426
39845,0.764786427559,0.988428629654,-84.5540423006,-82.1979346399
39846,0.422957507781,1.18455534449,-77.7263130478,-75.4553246159
39847,0.440379767896,1.00659202711,-122.168097062,-119.300122653
39848,0.598609304342,0.892970395097,-83.4050470928,-80.9672954431
39849,0.817418901057,1.21593462297,-73.0017322704,-70.912687395
39850,0.551198432873,1.21532642042,-78.705441539,-76.8165635806
39851,5.78660479533e-08,49296.7699105,-127.927418385,-128.70854256
39852,7.11246332941e-08,17563.2629702,-137.679249668,-138.460373844
39853,1.20366129286e-07,23310.3844378,-121.731698181,-122.512822356
39854,4.94369061244e-08,488.549747627,-127.8299718,-128.611095975
39855,5.16394684791e-08,75936.7970373,-135.487096543,-136.268220718
39856,1.44066379715e-07,24642.7607384,-118.700224736,-119.481348911
39857,1.31800893977e-07,5518.57743982,-125.63407756,-126.415201735
39858,1.00394248248e-07,2.77261517936e-05,-115.965473191,-116.746597366
39859,2.38345054804e-09,2.2201556859,-129.065411763,-129.846535938
39860,1.03349747427e-07,30499.6847626,-127.62856553,-128.409689706
39861,2.08579838068e-07,51844.1005968,-124.702400426,-125.483524601
39862,5.96794051955e-08,16724.2127297,-129.412830244,-130.193954419
39863,1.92940445629e-05,198.074609257,-86.4297714843,-87.2108956594
39864,6.54087149004e-05,506.085884039,-90.2666964796,-91.0478206547
39865,1.09488700524e-05,677.591162566,-99.0758830553,-99.8570072304
39866,2.24543763754e-05,240.281934485,-89.3114798932,-90.0926040683
39867,1.99324073962e-05,842.544119663,-99.100304643,-99.8814288181
39868,5.23657446598e-05,471.76135173,-103.111601172,-103.528082234
39869,9.52515376251e-05,173.147870464,-91.6042072077,-92.0206882692
39870,5.88988115775e-05,104.932455833,-101.641186408,-102.05766747
39871,9.61635137449e-05,110.462954983,-87.1756844923,-87.5921655538
39873,1.99753738197e-05,1014.3819238,-113.598964754,-114.015445816
39874,5.43477159392e-05,388.578520497,-105.333138131,-105.749619192
39875,0.000160432525566,290.809669364,-92.6017966609,-93.0182777225
39876,0.000127535412113,135.159557989,-87.2815002521,-87.6979813136
39877,0.000128187147309,114.91311397,-90.3880602677,-90.8045413292
39878,1.27527500069e-05,1153.05211071,-120.244849952,-120.661331013
39879,4.65991991307e-05,643.55241986,-114.962904209,-115.379385271
39880,9.14343494076e-05,274.233283094,-99.008227513,-99.4247085746
39881,0.000115733702518,209.925696304,-102.694929182,-103.111410243
39882,9.61279584955e-05,150.736330586,-99.3059632045,-99.7224442661
39883,8.1142175699e-05,759.808311774,-990.158413323,-986.334367312
39884,5.9516219661e-05,10187.0460674,-117.415938574,-118.197062749
39885,9.28203928341e-05,8242.91512539,-126.37270962,-126.789190681
39886,6.41718838881e-05,10662.4254129,-117.014900003,-117.796024178
39887,1.0556568562e-05,2944.61019528,-112.696124677,-113.477248852
39888,1.64426642857e-05,1766.50277118,-76.5015899573,-77.7290012351
39889,1.74206023973e-05,2.50255422718e-06,-78.5567898434,-79.7842011212
39890,0.0,2155.87649384,-90.7753696203,-91.1918506819
39891,0.000144204339545,1092.75643981,-108.886863398,-109.303344459
39892,1.94803352327e-05,298.229182596,-311.258463667,-309.369585708
39893,1.4037117545e-05,707.092564943,-327.878324673,-326.097581157
39894,0.000145819752594,734.72469871,-133.061583164,-133.169762866
39895,0.000159848387499,160.930605941,-144.262737548,-144.103854465
39896,4.49871456114e-05,2.60787863078e-05,-142.17445285,-142.015569766
39897,0.000123068627272,1434.06614681,-146.583068474,-146.424185391
39898,0.000180521238764,219.246335932,-156.278555255,-156.119672171
39899,0.000186906709415,330.163706017,-144.699702742,-144.540819659
39900,0.000151134605506,618.944648405,-155.272757626,-155.113874543
39901,0.000239590926774,391.176618704,-131.337983278,-131.179100195
39902,0.000128759123773,1592.63872403,-138.444043204,-138.285160121
39903,0.000185275788653,3914.91935792,-135.476973872,-135.318090788
39904,0.000138040152283,190.615539946,-146.633476898,-146.474593815
39905,9.92052973292e-05,170.422350281,-145.164455351,-145.005572268
39906,0.000116960739463,962.262820411,-154.925773168,-154.766890085
39907,0.000783742567603,24.0800537979,-246.75741389,-244.575328983
39908,1.83961288749e-05,5140.42687179,-179.964183024,-179.80529994
39909,1.2149747423e-05,1291.78233736,-170.251858709,-170.092975626
39910,0.000920822824122,3.86268457053e-05,645.523793351,648.901552259
39911,0.00089695666662,7.8379184991e-05,658.843691476,662.319030713
39912,0.000706068313562,21.7170459723,-107.95958828,-107.800705197
39913,1.06347552986e-08,1321.4273022,-82.9295342089,-84.1569454866
39914,0.00246126484257,0.149369627974,8.62035302236,9.41614356796
39915,0.00220580373207,19.6188902683,-114.251081533,-113.281268233
39916,0.000583631043385,3.08690268339,-48.9472760378,-49.0554557397
39917,0.000135246193008,183.249675552,-95.7733761532,-96.5545003283
39918,0.00104769650883,16.3732588537,-90.5877425398,-90.1932933851
39919,0.00026440736806,7.36038133822,-94.2324721427,-95.0135963178
39920,0.000266159817766,6.57691374837,-84.1737145983,-84.9548387734
39921,0.000448172403675,102.709174367,-71.6667028316,-72.4478270067
39922,0.000328622716036,158.010279925,-79.4650475843,-80.2461717595
39923,0.000433295034202,312.332460437,-86.1652471934,-86.9463713686
39924,1.90885409417e-05,63346.2196862,-164.439525258,-164.856006319
39925,0.000978668270658,0.503970962183,-161.384375579,-158.217337702
39926,3.32349558323e-05,7206.38382075,-120.197552231,-120.978676406
39927,7.31246073626e-06,9337.99208656,-118.304604435,-119.08572861
39928,8.98131496512e-05,9479.02328864,-115.195478958,-115.976603133
39929,1.7357845852e-05,9197.89768625,-116.232002239,-117.013126414
39931,1.39563781028e-05,4469.2791683,-135.970697472,-136.387178533
39932,0.0,1.72688491523,-43.5387966079,-40.545781485
39933,0.00452123646351,773.66362698,-302.882748987,-301.216322299
39934,112.841836006,0.000794487267124,176.291120585,178.071864101
39935,1.36076294466e-05,5344.70846454,-163.001013859,-163.109193561
39936,1.46192781176e-05,2631.07879778,-113.679105087,-114.095586148
39937,1.33980486305e-06,218129.100054,-161.310912525,-162.0920367
39938,8.36227801004e-07,279570.046174,-173.323073551,-174.104197726
39939,1.5610188393e-06,48.9080306008,-433.305444382,-430.373972577
39940,7.16133719214e-07,2175.65131849,-1647.90154447,-1643.1374912
39941,0.00140274648685,37.817074232,-103.67075069,-103.276301536
39942,0.00546261823687,15.1391068656,-186.728931362,-184.546846455
39943,0.0077956013725,2.75498151178,-89.1302452882,-88.1604319886
39944,0.0459003606787,1.65716751985,-138.892282753,-136.536175092
39945,6.54733150696e-06,10143.1268293,-108.668127967,-109.449252143
39946,1.29457836957e-05,2469.90746725,-104.863166121,-105.644290297
39947,7.56961306969e-08,12291.5862622,-261.098641096,-260.302850551
39948,2.39118204378,3.5439375217,-24.6942249185,-25.4753490936
39949,5.0862176376,3.97799816274,-42.0233841754,-42.8045083505
39950,2.97376211123,5.63218970601,-27.2261760012,-28.0073001763
39951,2.819068997e-05,2569.79143291,-125.140666587,-125.557147648
39952,0.0,3780.42563464,-104.283727866,-104.700208927
39953,1.95354125463e-05,6202.40112216,-114.09206917,-114.873193345
39954,4.67085162126e-06,1524.1055423,-136.479593325,-136.896074387
39955,1.2721380668e-05,1007.72532369,-144.955178271,-145.063357973
39956,8.85711394227e-06,1309.79900688,-138.187124787,-138.295304489
39957,8.07070158015e-06,789.70929197,-139.376888203,-139.485067905
39958,1.24800786361e-05,837.276998916,-142.437477939,-142.545657641
39959,6.44546163309e-06,129.115284763,-140.546723746,-140.654903448
39960,7.74068679399e-06,7020.10733449,-137.776122311,-138.192603372
39961,1.85913103556e-06,35784.6257043,-151.786641078,-152.20312214
39962,3.06317918868e-05,60.0908648007,-86.556409153,-86.9728902145
39963,0.00018321856543,112.756011965,-134.298201205,-133.693031019
39964,3.75150730634e-05,54.2175472317,-57.7274078055,-58.5085319806
39965,0.0,2.66203739948,-25.4736348656,-25.0791857109
39966,0.0159692408502,3.14871573777,-58.2697192966,-57.6645491106
39967,0.00355380227057,6.77064184463,-34.2957878396,-35.5231991174
39968,0.00307297719165,0.971231975971,-20.1359242135,-20.9170483887
39969,0.0265786095393,1.39691949042,-31.5078570608,-32.2889812359
39970,0.00206607366198,1.49616289956,-27.6082346657,-28.3893588409
39971,0.0133723340104,0.605786457765,-15.3029127756,-16.0840369508
39972,0.115377185922,0.555893423838,-33.9436033636,-32.6654887044
39973,366.513701568,0.0164450138929,26.9316921108,26.5152110492
39974,5.16557341022e-05,0.000187705855849,70.3075082875,69.891027226
39975,0.000128930984509,0.000878298419348,58.05521068,57.6387296184
39976,0.000767638827627,0.000344284822732,91.2853083697,91.1771286678
39977,0.0213448891934,0.803534628278,-58.4422298315,-58.5504095334
39978,0.0790087172739,0.968495113364,-34.449265729,-34.5574454309
39979,0.0313315862199,2.49612522926,-47.4162609754,-47.8327420369
39980,0.0722300301127,0.873388613219,-29.1964582546,-29.6129393162
39981,4.66390570319e-06,17125.2142909,-146.472720172,-146.889201234
39982,0.000186342974458,35.5860729687,-100.308341399,-99.9138922446
39983,7.92664195739e-05,928497.979784,-329.200430497,-328.404639951
39984,1.17360191845e-05,1001.14761313,-123.287021206,-123.703502268
39985,1.16982198073e-05,783.188371353,-95.492763906,-96.7201751838
39986,1.51903149006e-05,32491.8187941,-105.255430784,-106.482842061
