ID,a,h,q,AIC,BIC
39835,9.663811043e-05,29.2873786253,1.79463344185e-09,-123.023107629,-122.784783004
39836,2.81843379758e-05,167.043321692,2.15644169188e-12,-223.507553532,-222.599798253
39837,1.30113846758e-05,165.28204177,2.06967776251e-12,-199.55354308,-198.645787801
39838,6.13886296408e-06,173.993044171,0.00443699660136,-231.850307557,-230.942552278
39839,5.13468756214e-06,576.129336066,1.82633352885e-11,-210.865694833,-209.957939554
39840,1e-12,0.899855123325,0.151201069304,-49.4044472302,-44.6538904149
39841,2.42115981906,1.02090468871,0.279052736842,-150.757978055,-145.617261855
39842,1.12577566573,0.996357471237,0.247601621879,-92.6877322392,-88.1086506654
39843,2.39524708596,0.96289090649,0.288668263226,-105.336156537,-101.339543006
39844,1.62941505027,0.945197601179,0.162669724757,-144.870586672,-139.657577817
39845,0.764774387298,0.988420537119,3.72153753703e-07,-82.5540417836,-79.0198802925
39846,0.422288474374,1.18294104541,8.08692501852e-10,-75.726306446,-72.3198237982
39847,0.440338313143,1.00650317474,7.80736586492e-12,-120.168096844,-115.866135231
39848,0.699571214262,1.10041741767,0.296583897982,-81.668985127,-78.0123576524
39849,1.4407618585,1.57624714056,0.999999706358,-73.4956549859,-70.3620876727
39850,0.553076602488,1.22112775619,0.00582368233699,-76.7055847053,-73.8722677678
39851,3.51500106799e-09,77136.17871,0.635580612838,-127.713752472,-128.885438735
39852,4.1057547695e-08,23531.3471408,0.122782370229,-135.907654133,-137.079340396
39853,2.40595199319e-09,38887.6305819,0.871972863714,-122.558114237,-123.7298005
39854,6.04251682024e-09,20325.5878766,0.436932847795,-126.264885508,-127.436571771
39855,5.16390082916e-08,75936.2307039,3.1371231779e-08,-133.487096456,-134.658782719
39856,1.44069530195e-07,24643.0384073,1.39977685554e-08,-116.700224733,-117.871910996
39857,7.53355332561e-08,8697.83421065,0.124119291167,-123.726143734,-124.897829997
39858,7.5542056055e-08,0.0806507055892,0.0484061938735,-114.062406128,-115.234092391
39859,3.64374563855e-09,220206.730754,0.298053537888,-140.930070276,-142.101756539
39860,3.92338274091e-08,37208.070762,0.215914931173,-125.74433916,-126.916025423
39861,3.43475836662e-09,62446.8733097,0.969864437895,-124.587142218,-125.75882848
39862,4.50134457486e-08,20782.4634621,0.0640169938099,-127.420993211,-128.592679474
39863,7.05485276753e-07,551.777192543,0.999999997847,-93.1259299725,-94.2976162352
39864,8.20802112467e-06,632.586357638,0.763866786548,-105.85943557,-107.031121832
39865,1.09487770176e-05,677.582251499,2.85271806177e-13,-97.0758830601,-98.2475693228
39866,2.24544073536e-05,240.282607738,5.15926190658e-12,-87.3114798932,-88.4831661559
39867,3.65708225847e-06,1171.33551389,0.592857097011,-108.051449392,-109.223135655
39868,9.83169715452e-06,578.20629692,0.575776215693,-103.07424945,-103.698971042
39869,3.77426838999e-05,209.600053508,0.309957720563,-90.0311764317,-90.6558980241
39870,5.88993620975e-05,104.933838484,5.05341324342e-11,-99.6411864026,-100.265907995
39871,9.61643236478e-05,110.463358423,7.20888667205e-07,-85.1756844073,-85.8004059996
39873,1.99757905485e-05,1014.3858211,2.06579880979e-09,-111.598964734,-112.223686326
39874,2.63138485891e-05,444.613683639,0.248631423416,-104.030036799,-104.654758391
39875,0.000160432651101,290.809661073,5.77877073971e-09,-90.6017966601,-91.2265182524
39876,1.79208033019e-05,176.084114346,0.630422636465,-87.1265886172,-87.7513102095
39877,1.78024288734e-05,155.010851354,0.628292049317,-92.7120273794,-93.3367489717
39878,9.05982152977e-06,1272.34922171,0.115148046486,-118.442247549,-119.066969141
39879,3.0030976106e-05,695.733095341,0.161942950718,-113.525328756,-114.150050348
39880,7.45028563368e-05,286.906211817,0.0740425020158,-97.0477769237,-97.672498516
39881,0.000115733896032,209.925850649,6.24466589549e-11,-100.694929181,-101.319650773
39882,5.77124496309e-05,173.436567262,0.172265503143,-98.0467388827,-98.6714604751
39883,3.33864494749e-05,1226.75807748,0.64856458186,-1007.97460429,-1002.23853528
39884,5.21861382702e-05,10961.4384672,0.358306667059,-116.907914318,-118.079600581
39885,7.08923437055e-05,9439.97503627,0.999999987294,-125.334621593,-125.959343186
39886,5.60541858784e-05,12082.1021594,0.66498602142,-117.680778397,-118.852464659
39887,1.05566485212e-05,2944.64708673,3.33066907388e-15,-110.696124679,-111.867810942
39888,2.92377710431e-06,2848.64897203,0.790483276932,-74.9225814123,-76.763698329
39889,2.82188811707e-06,862.782001594,0.748265668844,-80.4521974787,-82.2933143954
39890,1e-12,1599.45490577,0.271122600108,-88.7753731498,-89.4000947421
39891,0.000136570648602,1107.58372847,0.0393040338111,-106.891949769,-107.516671362
39892,2.66342689792e-07,419.231506887,0.999999994231,-326.784664363,-323.951347425
39893,4.96345318068e-07,1222.38814406,0.999999999961,-336.200718679,-333.529603405
39894,0.000113956959967,796.402995532,0.173981795118,-131.522724407,-131.68499396
39895,0.000159848496908,160.930565869,5.65385438467e-09,-142.262737539,-142.024412914
39896,4.49816548741e-05,0.000224130450351,4.58664549881e-05,-140.174254531,-139.935929906
39897,0.000102158385292,1575.0118404,0.19188455959,-144.6792473,-144.440922675
39898,0.0001246287609,311.692932383,0.258165471564,-166.61575707,-166.377432445
39899,7.94395099574e-05,494.784449975,0.591259895787,-149.534470437,-149.296145811
39900,9.84487616366e-05,787.014017489,0.361404813587,-157.274745653,-157.036421028
39901,5.74210177443e-05,562.573289015,0.999999999823,-135.464047952,-135.225723327
39902,6.33059111425e-05,2032.90288674,0.999999998428,-137.664285772,-137.425961147
39903,8.92626826389e-05,4102.82865534,0.999999998599,-134.080210923,-133.841886298
39904,5.6774664699e-05,385.876075608,0.555634961442,-153.386973345,-153.14864872
39905,9.92058880839e-05,170.42509619,3.06017433616e-10,-143.16445535,-142.926130725
39906,9.11652410381e-05,1144.2223224,0.249552953361,-153.585914454,-153.347589829
39907,0.000783763223296,24.0807858202,1.002545158e-09,-244.757413905,-241.484286545
39908,9.13559405358e-06,5722.35554421,0.386042030672,-180.61083189,-180.372507265
39909,1.21497789843e-05,1291.78103056,6.17261913805e-09,-168.251858701,-168.013534076
39910,0.000740782735415,3.94473855063e-05,0.0142117531856,647.522668527,652.589306889
39911,3.76370257182e-09,0.000111490365053,0.806932415569,655.85759751,661.070606365
39912,0.000239466427624,36.5485717988,0.469131272343,-116.957431896,-116.719107271
39913,5.00650554347e-09,1441.83146883,0.0776275602346,-82.0619622681,-83.9030791847
39914,1.72221197442e-05,0.152697376931,0.619017311398,9.96696655687,11.1606523753
39915,0.000357375174797,20.5995490182,0.644700462424,-112.852518545,-111.397798596
39916,1.41808715972,5.2046196218,4.85805466527e-06,-29.0680473052,-29.230316858
39917,9.21321418849e-05,264.411911128,0.229368829483,-97.8183852733,-98.990071536
39918,0.00104760920937,16.3728794823,3.72123998282e-11,-88.5877422904,-87.9960685583
39919,0.000264407386175,7.36037839858,5.9082139181e-10,-92.2324721371,-93.4041583998
39920,0.000266159771132,6.57689612499,9.76376923756e-10,-82.1737145714,-83.3454008341
39921,4.64342930283e-05,144.752065596,0.999999999793,-76.2746992624,-77.4463855251
39922,0.000267112424918,171.128312685,0.106963188108,-77.6007769024,-78.7724631651
39923,0.00014148275872,364.202967896,0.679441336343,-108.295668283,-109.467354546
39924,2.25179183139e-05,67440.4084992,0.455753470844,-176.805647022,-177.430368615
39925,0.000978668727459,0.503970843216,4.03444566199e-07,-159.384375401,-154.633818586
39926,3.32343652943e-05,7206.29965077,2.70590772011e-11,-118.197552199,-119.369238461
39927,2.88351833932e-06,18948.1807005,1.0,-122.509890555,-123.681576818
39928,8.97995978285e-05,9478.66852307,1.64585012286e-12,-113.195478498,-114.367164761
39929,1.73579742752e-05,9197.95876477,7.94872279108e-10,-114.232002237,-115.403688499
39931,1.39570990169e-05,4469.45755959,4.69069227904e-13,-133.970697361,-134.595418953
39932,1e-12,1.35783458211,0.0208650689424,-41.538796608,-37.0492739236
39933,0.0110024249013,842.683401627,0.999999680107,-301.75902527,-299.259385238
39934,55.0488623041,0.000886928874971,0.388775632163,176.939087111,179.610202384
39935,6.34556987478e-06,7258.1678314,0.548476694799,-165.887801427,-166.05007098
39936,9.63158701572e-07,3233.25015157,1.0,-113.62695663,-114.251678222
39937,1.23596241142e-06,236674.046761,0.172760327976,-164.507251341,-165.678937604
39938,8.02991690585e-07,294203.056646,0.0809451876188,-182.419288334,-183.590974597
39939,0.0232399386023,405.840940375,5.96333124825e-07,-387.671979226,-383.274771518
39940,7.1613793684e-07,2175.65566844,2.02253279125e-08,-1645.90154395,-1638.75546405
39941,0.00140281645154,37.8186420405,1.41468503578e-11,-101.67075058,-101.079076848
39942,0.00546281418849,15.1392803323,8.47144517313e-08,-184.728931194,-181.455803834
39943,0.00779708054893,2.75533773361,9.1482710296e-11,-87.1302440508,-85.6755241014
39944,0.0263257737231,1.83366339362,0.295475867275,-138.07623996,-134.542078469
39945,7.32621620592e-07,12701.2008099,0.999999999539,-110.923296684,-112.094982946
39946,2.08690380232e-06,3553.20524621,0.776543519994,-108.386421863,-109.558108126
39947,2.00973983011e-08,15023.2353622,0.235676913365,-259.292887593,-258.099201774
39948,16.6315211409,3.96026810812,0.999999998876,-24.2687276841,-25.4404139468
39949,48.0847213837,4.25532614432,0.999999999999,-42.2712630981,-43.4429493608
39950,20.1748434319,5.90216300199,0.999999997808,-26.125112702,-27.2967989647
39951,9.80302740772e-06,3079.70602195,0.560859290986,-128.132295327,-128.757016919
39952,1e-12,3414.48424216,0.00925126395865,-102.283730691,-102.908452283
39953,1.48283048392e-05,6936.42535734,0.220998255044,-112.539648787,-113.71133505
