ID,a,h,q,AIC,BIC
39835,9.82377060511e-05,171.663561062,0.154462054528,-118.146972219,-117.908647594
39836,2.27747133813e-05,189.276281446,0.0633119394019,-212.707896938,-211.800141659
39837,1.15372261132e-05,190.47765977,0.0355705011794,-198.894452439,-197.98669716
39838,5.00365624478e-06,780.527839758,0.193061621213,-182.936315218,-182.028559939
39839,5.13471348096e-06,576.128380997,8.73101591026e-12,-210.86569475,-209.957939471
39840,1e-12,0.899855123325,0.0,-49.4044472302,-44.6538904148
39841,2.40466565489,1.01912951081,0.271827068866,-150.757485728,-145.616769528
39842,1.11312496618,0.992880428594,0.258313575874,-92.6842118692,-88.1051302953
39843,2.45625481507,0.970419658407,0.314132413797,-105.33153494,-101.334921409
39844,1.76863995074,0.842133819158,0.00910876820175,-137.192813798,-131.979804944
39845,0.72073566848,0.941592482292,3.21415611466e-05,-82.4228856873,-78.8887241962
39846,0.422544835642,1.1835783571,1.82523440806e-10,-75.7263115155,-72.3198288677
39847,0.456565723189,1.08436347864,0.0,-119.929911156,-115.627949543
39848,0.578120323488,0.899437176723,0.264587613991,-80.5891477432,-76.9325202686
39849,1.49058787938,1.59035040736,1.10705286963,-73.5098969498,-70.3763296367
39850,0.0776308312811,0.471969861816,1.24520740039,-46.9602243232,-44.1269073857
39851,5.54722544566e-08,87719.2982456,0.0,-120.978631757,-122.15031802
39852,4.1078624835e-08,23526.3446641,0.122667055166,-135.907654357,-137.079340619
39853,2.83944145973e-09,38605.4568614,0.836719394205,-122.456710239,-123.628396501
39854,5.77773440202e-09,20589.9523176,0.445932314864,-126.265527468,-127.43721373
39855,5.16464514488e-08,75940.999854,1.97155274329e-08,-133.487096123,-134.658782386
39856,3.38132299937e-10,41800.0301265,1.23433746398,-115.2729314,-116.444617663
39857,7.55080559189e-08,8686.78601484,0.123623341561,-123.726142279,-124.897828542
39858,6.32739945994e-08,2446.38701089,0.0720152976593,-112.665174701,-113.836860964
39859,3.64374563855e-09,35280.4313841,0.133785816818,-138.585002517,-139.75668878
39860,4.76882163758e-08,41796.596779,0.38747784318,-116.931225187,-118.102911449
39861,3.20843289381e-07,78809.8461781,0.0524129316414,-118.558943153,-119.730629416
39862,5.64436174466e-08,50251.2562814,0.0,-116.346541175,-117.518227437
39863,3.38668712074e-07,580.546583893,1.20689051236,-94.1648148425,-95.3365011052
39864,8.19229312332e-06,632.653961426,0.764563554626,-105.859321755,-107.031008017
39865,9.4140844723e-06,658.932500929,0.0613885109505,-92.752637833,-93.9243240957
39866,2.01311880103e-05,295.278663471,0.057965625647,-86.6880991184,-87.8597853811
39867,3.65481233466e-06,1171.40162299,0.593066458693,-108.051445283,-109.223131546
39868,1.81158599865e-05,535.837141261,0.341139342114,-102.5628581,-103.187579693
39869,6.41070686506e-05,195.368321431,0.153132342933,-89.8198584243,-90.4445800166
39870,5.23232014057e-05,122.009296865,0.0679825791493,-95.7015928074,-96.3263143997
39871,9.61641100753e-05,110.463357266,8.37355218497e-09,-85.1756844913,-85.8004060836
39873,1.51459916288e-05,1221.47642167,0.138753227948,-110.147196791,-110.771918383
39874,2.62779870587e-05,444.689812901,0.249083729152,-104.030034619,-104.654756211
39875,0.000100099783562,385.327681176,0.378209852928,-86.9608136427,-87.585535235
39876,1.79951419851e-05,175.80789927,0.625119017833,-87.1224443668,-87.7471659591
39877,1.78033118444e-05,155.009991377,0.628274786368,-92.7120273925,-93.3367489848
39878,6.74295496605e-06,1687.21022296,0.543235372405,-105.928089753,-106.552811345
39879,3.00332055413e-05,695.725917336,0.161916112855,-113.525328745,-114.150050338
39880,7.46993572952e-05,286.686192688,0.0728447475101,-97.047743729,-97.6724653213
39881,4.33447884968e-05,219.527477169,0.365357450162,-88.5047012698,-89.1294228621
39882,5.78913527646e-05,173.130338914,0.169661797411,-98.0411993031,-98.6659208954
39883,3.34145381663e-05,1226.79566779,0.648239216931,-1007.9745683,-1002.23849928
39884,5.21839835698e-05,10962.7884735,0.358947153861,-116.907908923,-118.079595186
39885,6.45876567368e-05,9609.18692508,1.39215876164,-125.391510085,-126.016231678
39886,5.57384661072e-05,12106.9298409,0.687295065414,-117.67764202,-118.849328282
39887,4.86817201917e-06,5966.7517347,0.654389431625,-105.504384174,-106.676070437
39888,1.28471694022e-05,3226.08641714,0.29276872382,-73.3782952392,-75.2194121559
39889,2.86854599396e-06,865.938755877,0.743955949031,-80.4451447692,-82.2862616859
39890,1e-12,1599.45490577,0.0,-88.7753708438,-89.4000924361
39891,0.000136780773697,1107.01323376,0.0372540343151,-106.891878276,-107.516599868
39892,1.32225016491e-08,445.23883919,1.65700058203,-331.582259859,-328.748942921
39893,1.29328031617e-08,1361.09723399,1.99999999928,-339.494065451,-336.822950178
39894,0.000109206610235,806.742212565,0.206714976644,-131.50597863,-131.668248182
39895,0.00015260033212,131.986986102,0.0373311639205,-131.966830056,-131.728505431
39896,4.52687399638e-05,0.18018855215,0.00260269401554,-140.117831029,-139.879506404
39897,0.000105749491941,1543.54246549,0.144992048429,-144.671892219,-144.433567594
39898,0.000124553953343,311.481437091,0.257995748933,-166.614540147,-166.376215521
39899,8.11434592977e-05,492.859297884,0.578588599744,-149.530754239,-149.292429614
39900,9.93706358078e-05,778.471844572,0.352721069212,-157.184586082,-156.946261457
39901,2.29017371135e-05,592.082202717,1.56481087788,-136.252265075,-136.013940449
39902,0.000193095,1605.06429888,0.0,-135.525460098,-135.287135473
39903,1.2947403338e-05,3520.97836559,1.99857703561,-133.69195785,-133.453633225
39904,0.000133482044674,232.163555257,0.118296494805,-133.620263057,-133.381938432
39905,0.000161976285714,587.952039576,0.0,-127.172603401,-126.934278776
39906,0.000106660842906,972.39052416,0.0609602378702,-152.871718622,-152.633393997
39907,0.00177820077186,41.4669097426,5.994994699e-05,-233.421576886,-230.148449526
39908,9.13172899419e-06,5720.98730744,0.385755778858,-180.610777897,-180.372453272
39909,1.19787460263e-05,1265.22165643,0.016589626291,-166.226221543,-165.987896918
39910,0.000509889159773,4.72667917411e-05,0.0,662.766729865,667.833368227
39911,2.94687433969e-05,6.94301952395e-05,0.200756469156,661.708270005,666.92127886
39912,0.000530690224989,44.9967724967,0.440416496672,-93.7232037216,-93.4848790966
39913,5.82386261438e-09,1421.65602177,0.0623085750743,-81.8318076427,-83.6729245594
39914,1.71911231722e-05,0.152698149251,0.619240876196,9.96696657607,11.1606523945
39915,0.000149242878704,20.4971711843,0.895396358083,-112.608023602,-111.153303653
39916,3.48139778894e-07,3.46536366241,1.23875161544,-72.0748759746,-72.2371455275
39917,9.21332399167e-05,264.410187073,0.229363389472,-97.8183852437,-98.9900715064
39918,0.00104190252661,16.3422549024,9.29692753882e-06,-88.5871373949,-87.9954636629
39919,0.000242644917526,82.612886779,0.438885333287,-58.0306439003,-59.202330163
39920,0.000250786557806,75.0836462755,0.302989567659,-60.5356990518,-61.7073853145
39921,4.55782480312e-05,144.935566351,1.00841848855,-76.2791044328,-77.4507906955
39922,0.0011351403203,235.164076124,0.148712861078,-64.3995420947,-65.5712283574
39923,0.000998973997782,367.649148238,0.175412629309,-72.5501239541,-73.7218102168
39924,2.26785002361e-05,67621.2411955,0.466769151963,-176.770346661,-177.395068254
