ID,a,h,q,AIC,BIC
39835,0.000130283466775,6.54301435254e-08,-0.113258186668,-123.58858818,-123.350263555
39836,3.01394395905e-05,160.705409344,-0.0188623876573,-224.443426665,-223.535671386
39837,1.67390305235e-05,111.380441113,-0.0707566231272,-199.900376383,-198.992621104
39838,6.13887288892e-06,173.992431983,0.00443655246078,-231.850307557,-230.942552278
39839,1.26789458106e-05,8.34046260709e-05,-0.255801990519,-219.779016618,-218.871261339
39840,0.0,0.899855123325,0.903813578943,-49.4044472298,-44.6538904145
39841,2.42104724736,1.02089275102,0.279006157944,-150.757978023,-145.617261823
39842,1.1251670334,0.99604394284,0.246886512957,-92.6877323564,-88.1086507825
39843,2.39515510893,0.962879815478,0.288615877764,-105.336156529,-101.339542998
39844,1.62940076415,0.945194149818,0.162659613834,-144.87058667,-139.657577816
39845,0.695506484023,0.868571173691,-0.159792533,-82.6667646338,-79.1326031428
39846,0.281325917627,1.28505493358e-07,-0.479653190593,-77.5921429369,-74.1856602891
39847,0.415989558121,0.876745669022,-0.103686729784,-120.214166519,-115.912204906
39848,0.699578816604,1.10042598886,0.296592105753,-81.6689851217,-78.0123576471
39849,1.50727437791,1.59295428824,1.10382760935,-73.5107798569,-70.3772125437
39850,0.55305741488,1.22107494996,0.00576961724383,-76.7055846445,-73.872267707
39851,2.86205525946e-09,78090.8843827,0.679875255855,-127.831953459,-129.003639721
39852,4.95769206577e-07,0.164629760308,-0.397205240925,-129.068598871,-130.240285134
39853,2.63518185051e-09,38737.7982022,0.852676433947,-122.502660279,-123.674346541
39854,1.14977674048e-07,0.0635070921019,-0.145392364195,-124.897686906,-126.069373169
39855,3.07052732129e-07,0.129953595931,-0.453736981468,-134.519003252,-135.690689515
39856,NA,NA,NA,NA,NA
39857,7.53479412197e-08,8696.83285531,0.124081080297,-123.726143739,-124.897830001
39858,5.28651793452e-08,1.06810411427e-06,0.108827661372,-114.104278445,-115.275964708
39859,NA,NA,NA,NA,NA
39860,3.92130925508e-08,37211.455296,0.216035286378,-125.744339199,-126.916025461
39861,3.75675868192e-09,62348.3077577,0.949155118243,-124.560806423,-125.732492686
39862,NA,NA,NA,NA,NA
39863,1.82988288078e-07,597.591271381,1.3834271381,-94.4978274399,-95.6695137026
39864,8.20805596713e-06,632.586189654,0.763865173003,-105.85943557,-107.031121833
39865,2.5948227155e-05,4.62226934062e-07,-0.310200900319,-100.737620805,-101.909307068
39866,4.66169056335e-05,1.38006625627e-05,-0.254609628707,-88.7210350628,-89.8927213255
39867,3.65706377625e-06,1171.33634136,0.59285901803,-108.051449393,-109.223135656
39868,9.83193982096e-06,578.205425443,0.575767880422,-103.074249449,-103.698971042
39869,3.77419931712e-05,209.600508124,0.309963514661,-90.0311764317,-90.6558980241
39870,0.000139601371866,15.8283815522,-0.286011719771,-103.94120825,-104.565929842
39871,0.000101254530769,107.64621025,-0.0176899159214,-85.1766842177,-85.80140581
39873,2.83477042828e-05,899.897166283,-0.124819124282,-111.728382529,-112.353104122
39874,2.63122218422e-05,444.616896398,0.248651521816,-104.030036798,-104.65475839
39875,0.000193789035505,279.695117952,-0.0777942411719,-90.6074458418,-91.2321674341
39876,NA,NA,NA,NA,NA
39877,1.78032678784e-05,155.009776247,0.62827402382,-92.7120273927,-93.336748985
39878,9.05994339151e-06,1272.34505769,0.115143493019,-118.44224755,-119.066969143
39879,3.00315987856e-05,695.730222919,0.161934436296,-113.525328756,-114.150050348
39880,7.45067150307e-05,286.90300024,0.0740233203294,-97.0477769244,-97.6724985167
39881,0.000242946783875,148.386020721,-0.28473096037,-103.511099722,-104.135821315
39882,5.77116445404e-05,173.436873218,0.172269568538,-98.0467388825,-98.6714604748
39883,3.33868980558e-05,1226.75019397,0.648551935592,-1007.97460429,-1002.23853528
39884,5.21856575626e-05,10961.5659506,0.358371179454,-116.90791432,-118.079600583
39885,6.50339624277e-05,9634.97114872,1.36381284494,-125.393943501,-126.018665093
39886,5.60538455947e-05,12082.2366949,0.665079637441,-117.680778425,-118.852464688
39887,1.61619651002e-05,0.00293612270889,-0.307992510278,-111.881576,-113.053262262
39888,2.9245018216e-06,2848.57802782,0.790378135956,-74.9225813742,-76.7636982908
39889,2.82185826661e-06,862.784622566,0.748269798875,-80.4521974798,-82.2933143964
