Sp,Sex,LS,SVL,perch height,branch diam,Names
A,M,A,93.9,74.8,5.1,A.A
A,na,SA,51.3,75,na,A.SA
A,M,SA,79.1,49,2.5,A.SA
A,M,A,113.3,22,4.8,A.A
A,M,A,100.1,157,17.8,A.A
A,M,SA,54.4,106,3.1,A.SA
A,M,SA,54.4,287,5.5,A.SA
A,M,SA,69.2,115,2.6,A.SA
A,na,SA,60.8,60,2.5,A.SA
A,M,A,81.1,91,3,A.A
A,M,A,88.3,49,15.9,A.A
A,na,SA,51.1,145.5,3.5,A.SA
A,M,SA,71.9,170,6.9,A.SA
A,na,SA,54.5,149,3.6,A.SA
A,na,J,34.2,135,1.4,A.J
A,M,SA,63.6,145,4,A.SA
A,na,SA,51.4,185,1.5,A.SA
A,M,A,89.5,101.5,2.6,A.A
A,M,A,85.6,130,2.4,A.A
A,na,J,44.8,230,0.5,A.J
A,F,J,40.7,165,2,A.J
A,na,J,40,208,3.3,A.J
A,F,SA,54.8,172,1.2,A.SA
A,na,J,41,176,2.3,A.J
A,na,J,46.2,134,1,A.J
A,na,J,48.3,133,1.7,A.J
A,M,A,96.7,195,12,A.A
A,F,SA,75.8,188,3.8,A.SA
A,M,SA,na,212,6.8,A.SA
A,M,SA,na,137,1.7,A.SA
A,na,J,39.8,163,0.9,A.J
A,na,J,35.1,176,35.1,A.J
A,na,SA,52.3,127,0.8,A.SA
A,M,J,32,150,1.5,A.J
A,na,SA,54.4,144,2.8,A.SA
A,M,A,86.8,225,5.7,A.A
A,M,A,92.9,3.7,5.2,A.A
A,M,SA,79.4,85,5,A.SA
A,M,SA,64,119,12.3,A.SA
A,na,J,49.6,165,5.2,A.J
A,F,J,40.3,212,2,A.J
A,na,J,44.7,193,3,A.J
A,F,J,48.6,154,2.4,A.J
A,F,J,45,181,3.5,A.J
A,M,SA,63.8,237,3.21,A.SA
A,M,J,46.6,153,31.7,A.J
A,M,J,47,157,4.5,A.J
A,M,J,44.2,84,1.3,A.J
A,M,SA,53.1,135,1.16,A.SA
A,na,SA,75.9,78,5.8,A.SA
A,M,J,41.9,86,0.72,A.J
A,na,SA,51,231,2.4,A.SA
A,F,J,47.6,121,2.22,A.J
A,M,SA,73.3,14.8,2.09,A.SA
A,na,J,37.9,166,1.4,A.J
A,na,J,35.9,234,0.02,A.J
A,M,A,86.7,81,2,A.A
A,M,J,36.4,194,1.8,A.J
A,F,J,37.9,147,1.5,A.J
A,M,J,42.3,180,4.5,A.J
A,F,J,48,205,1.8,A.J
A,M,SA,73.9,137,3,A.SA
A,M,J,45,206,1.9,A.J
A,M,J,48.9,162,4.6,A.J
A,M,A,112.8,80,7.4,A.A
A,F,J,38.1,148,1,A.J
A,F,A,88.6,113,1,A.A
A,F,J,44.7,152,1.6,A.J
A,M,A,94.6,220,3.4,A.A
A,M,SA,77.9,71,2.5,A.SA
A,M,A,101.6,53,5,A.A
A,M,SA,64.2,153,10,A.SA
A,F,J,45.2,175,0.2,A.J
